X1	X2	file	rsquared
1	1	2	1_2_model.rda	0.0516868033288892
2	1	3	1_3_model.rda	0.874935044401402
3	1	4	1_4_model.rda	0.874153819308673
4	1	5	1_5_model.rda	0.08929334603724
5	1	6	1_6_model.rda	0.917275293552661
6	1	7	1_7_model.rda	0.852819246752054
7	1	8	1_8_model.rda	0.675326777005425
8	1	9	1_9_model.rda	0.747574168046911
9	1	10	1_10_model.rda	0.69354141739922
10	1	11	1_11_model.rda	0.708168821628062
11	1	12	1_12_model.rda	0.689521749125025
12	1	13	1_13_model.rda	0.482706052125363
13	1	14	1_14_model.rda	0.881830316342518
14	1	15	1_15_model.rda	0.904475149971118
15	1	16	1_16_model.rda	0.391299144842559
16	1	17	1_17_model.rda	0.839203213785034
17	1	18	1_18_model.rda	0.295835963219095
18	1	19	1_19_model.rda	0.535163951039945
19	1	20	1_20_model.rda	0.737140642494732
20	1	21	1_21_model.rda	0.861591424621691
21	1	22	1_22_model.rda	0.754013192688297
22	1	24	1_24_model.rda	0.469500124807908
23	1	25	1_25_model.rda	0.493043413247784
24	1	26	1_26_model.rda	0.640982645392119
25	1	27	1_27_model.rda	0.636377416293773
26	1	28	1_28_model.rda	0.201010072125422
27	1	30	1_30_model.rda	0.8715631193278
28	1	31	1_31_model.rda	0.542656710388949
29	1	32	1_32_model.rda	0.610763593020936
30	1	33	1_33_model.rda	0.0704758061875792
31	1	34	1_34_model.rda	0.68267292148957
32	1	35	1_35_model.rda	0.554017920798934
33	1	36	1_36_model.rda	0.0534710507867922
34	1	37	1_37_model.rda	0.808483691855693
35	1	38	1_38_model.rda	0.439380877248203
36	1	39	1_39_model.rda	0.625390950610831
37	1	41	1_41_model.rda	0.823510158317823
38	1	42	1_42_model.rda	0.524422773138587
39	1	43	1_43_model.rda	0.664808216758693
40	1	44	1_44_model.rda	0.84361758243959
41	1	45	1_45_model.rda	0.338337026737134
42	1	46	1_46_model.rda	0.883521858082374
43	1	48	1_48_model.rda	0.275967194105233
44	1	49	1_49_model.rda	0.480696562898948
45	1	50	1_50_model.rda	0.121920164999249
