"","genome","outsider","distribution"
"1","1","Always Core",0.944808231992516
"2","1","Outsider Once",0.0201122544434051
"3","1","Outsider Multiple",0.0350795135640786
"4","10","Always Core",0.950306927798889
"5","10","Outsider Once",0.0192926045016077
"6","10","Outsider Multiple",0.0304004676995031
"7","11","Always Core",0.934939759036145
"8","11","Outsider Once",0.036144578313253
"9","11","Outsider Multiple",0.0289156626506024
"10","12","Always Core",0.951612903225806
"11","12","Outsider Once",0.020310633213859
"12","12","Outsider Multiple",0.0280764635603345
"13","13","Always Core",0.990762914813548
"14","13","Outsider Once",0.00684228532329798
"15","13","Outsider Multiple",0.00239479986315429
"16","14","Always Core",0.982035311679621
"17","14","Outsider Once",0.00978020281052144
"18","14","Outsider Multiple",0.00818448550985741
"19","15","Always Core",0.890593047034765
"20","15","Outsider Once",0.0184049079754601
"21","15","Outsider Multiple",0.0910020449897751
"22","16","Always Core",0.914518317503392
"23","16","Outsider Once",0.0251017639077341
"24","16","Outsider Multiple",0.0603799185888738
"25","17","Always Core",0.976894875948504
"26","17","Outsider Once",0.0130445903316566
"27","17","Outsider Multiple",0.0100605337198397
"28","18","Always Core",0.904214559386973
"29","18","Outsider Once",0.0354406130268199
"30","18","Outsider Multiple",0.0603448275862069
"31","19","Always Core",0.88905325443787
"32","19","Outsider Once",0.0414201183431953
"33","19","Outsider Multiple",0.0695266272189349
"34","2","Always Core",0.936585365853659
"35","2","Outsider Once",0.024390243902439
"36","2","Outsider Multiple",0.0390243902439024
"37","20","Always Core",0.923561408531348
"38","20","Outsider Once",0.0343544231319782
"39","20","Outsider Multiple",0.0420841683366733
"40","21","Always Core",0.984008291996742
"41","21","Outsider Once",0.00851410379803065
"42","21","Outsider Multiple",0.00747760420522692
"43","22","Always Core",0.938503587290741
"44","22","Outsider Once",0.0386060813119235
"45","22","Outsider Multiple",0.0228903313973352
"46","24","Always Core",0.923543689320388
"47","24","Outsider Once",0.0194174757281553
"48","24","Outsider Multiple",0.0570388349514563
"49","25","Always Core",0.898989898989899
"50","25","Outsider Once",0.0343434343434343
"51","25","Outsider Multiple",0.0666666666666667
"52","26","Always Core",0.985985793818391
"53","26","Outsider Once",0.00921482050297562
"54","26","Outsider Multiple",0.00479938567863313
"55","27","Always Core",0.973595234261794
"56","27","Outsider Once",0.0206085976493318
"57","27","Outsider Multiple",0.00579616808887458
"58","28","Always Core",0.889150943396226
"59","28","Outsider Once",0.0412735849056604
"60","28","Outsider Multiple",0.0695754716981132
"61","3","Always Core",0.926536731634183
"62","3","Outsider Once",0.0254872563718141
"63","3","Outsider Multiple",0.047976011994003
"64","30","Always Core",0.975766329642112
"65","30","Outsider Once",0.0109934199967902
"66","30","Outsider Multiple",0.0132402503610977
"67","31","Always Core",0.982578840284842
"68","31","Outsider Once",0.0105544252288912
"69","31","Outsider Multiple",0.00686673448626653
"70","32","Always Core",0.985950484022959
"71","32","Outsider Once",0.0109654758845198
"72","32","Outsider Multiple",0.0030840400925212
"73","33","Always Core",0.940291018564977
"74","33","Outsider Once",0.0255895634721525
"75","33","Outsider Multiple",0.03411941796287
"76","34","Always Core",0.844444444444444
"77","34","Outsider Once",0.0481481481481481
"78","34","Outsider Multiple",0.107407407407407
"79","35","Always Core",0.817901234567901
"80","35","Outsider Once",0.0555555555555556
"81","35","Outsider Multiple",0.126543209876543
"82","36","Always Core",0.933521126760563
"83","36","Outsider Once",0.0304225352112676
"84","36","Outsider Multiple",0.036056338028169
"85","37","Always Core",0.879210220673635
"86","37","Outsider Once",0.0511033681765389
"87","37","Outsider Multiple",0.0696864111498258
"88","38","Always Core",0.987955625990491
"89","38","Outsider Once",0.0107765451664025
"90","38","Outsider Multiple",0.00126782884310618
"91","39","Always Core",0.944885177453027
"92","39","Outsider Once",0.0313152400835073
"93","39","Outsider Multiple",0.0237995824634656
"94","4","Always Core",0.906593406593407
"95","4","Outsider Once",0.0357142857142857
"96","4","Outsider Multiple",0.0576923076923077
"97","41","Always Core",0.939431739431739
"98","41","Outsider Once",0.0225918225918226
"99","41","Outsider Multiple",0.037976437976438
"100","42","Always Core",0.974712209850915
"101","42","Outsider Once",0.0209473485563314
"102","42","Outsider Multiple",0.00434044159275335
"103","43","Always Core",0.969012837538734
"104","43","Outsider Once",0.015493581230633
"105","43","Outsider Multiple",0.015493581230633
"106","44","Always Core",0.993263816475495
"107","44","Outsider Once",0.00387904066736184
"108","44","Outsider Multiple",0.00285714285714286
"109","45","Always Core",0.907739938080495
"110","45","Outsider Once",0.0495356037151703
"111","45","Outsider Multiple",0.0427244582043344
"112","46","Always Core",0.974255652563242
"113","46","Outsider Once",0.00638012088650101
"114","46","Outsider Multiple",0.0193642265502574
"115","48","Always Core",0.919782460910945
"116","48","Outsider Once",0.0224337185588035
"117","48","Outsider Multiple",0.0577838205302515
"118","49","Always Core",0.89874739039666
"119","49","Outsider Once",0.0198329853862213
"120","49","Outsider Multiple",0.081419624217119
"121","5","Always Core",0.950359984842743
"122","5","Outsider Once",0.0200833649109511
"123","5","Outsider Multiple",0.0295566502463054
"124","50","Always Core",0.923411662315057
"125","50","Outsider Once",0.0243690165361184
"126","50","Outsider Multiple",0.0522193211488251
"127","51","Always Core",0.805429864253394
"128","51","Outsider Once",0.0904977375565611
"129","51","Outsider Multiple",0.104072398190045
"130","52","Always Core",0.92152704135737
"131","52","Outsider Once",0.0233297985153765
"132","52","Outsider Multiple",0.0551431601272534
"133","53","Always Core",0.971178343949045
"134","53","Outsider Once",0.0167197452229299
"135","53","Outsider Multiple",0.0121019108280255
"136","54","Always Core",0.986749116607774
"137","54","Outsider Once",0.00848056537102473
"138","54","Outsider Multiple",0.00477031802120141
"139","55","Always Core",0.960825358851675
"140","55","Outsider Once",0.0331937799043062
"141","55","Outsider Multiple",0.00598086124401914
"142","56","Always Core",0.977338756536897
"143","56","Outsider Once",0.0113306217315514
"144","56","Outsider Multiple",0.0113306217315514
"145","58","Always Core",0.81496062992126
"146","58","Outsider Once",0.0826771653543307
"147","58","Outsider Multiple",0.102362204724409
"148","59","Always Core",0.861344537815126
"149","59","Outsider Once",0.046218487394958
"150","59","Outsider Multiple",0.092436974789916
"151","6","Always Core",0.936350074589756
"152","6","Outsider Once",0.025360517155644
"153","6","Outsider Multiple",0.0382894082545997
"154","60","Always Core",0.874172185430464
"155","60","Outsider Once",0.0132450331125828
"156","60","Outsider Multiple",0.112582781456954
"157","62","Always Core",0.878623188405797
"158","62","Outsider Once",0.0307971014492754
"159","62","Outsider Multiple",0.0905797101449275
"160","65","Always Core",0.990273396424816
"161","65","Outsider Once",0.00368033648790747
"162","65","Outsider Multiple",0.00604626708727655
"163","66","Always Core",0.943918599148131
"164","66","Outsider Once",0.0198769522006626
"165","66","Outsider Multiple",0.0362044486512068
"166","67","Always Core",0.965419679346118
"167","67","Outsider Once",0.0210625589437284
"168","67","Outsider Multiple",0.013517761710154
"169","68","Always Core",0.982664303875491
"170","68","Outsider Once",0.00739656367979043
"171","68","Outsider Multiple",0.00993913244471839
"172","69","Always Core",0.966932725199544
"173","69","Outsider Once",0.0102622576966933
"174","69","Outsider Multiple",0.0228050171037628
"175","7","Always Core",0.967438310862376
"176","7","Outsider Once",0.00924277113541932
"177","7","Outsider Multiple",0.0233189180022047
"178","8","Always Core",0.956737735458497
"179","8","Outsider Once",0.0196646657006831
"180","8","Outsider Multiple",0.0235975988408197
"181","9","Always Core",0.9750449910018
"182","9","Outsider Once",0.0125974805038992
"183","9","Outsider Multiple",0.0123575284943011
