file.name	rsquared	query.genome	target.genome	match.file.name
1_2.rda	1_2.rda	0.0574573885824146	1	2	1_2.txt.match
1_3.rda	1_3.rda	0.877154452225447	1	3	1_3.txt.match
1_4.rda	1_4.rda	0.881279363740639	1	4	1_4.txt.match
1_5.rda	1_5.rda	0.0908928467568929	1	5	1_5.txt.match
1_6.rda	1_6.rda	0.927109956010114	1	6	1_6.txt.match
1_7.rda	1_7.rda	0.854801812944886	1	7	1_7.txt.match
1_8.rda	1_8.rda	0.684311005726614	1	8	1_8.txt.match
1_9.rda	1_9.rda	0.753331247056984	1	9	1_9.txt.match
1_10.rda	1_10.rda	0.701822646216003	1	10	1_10.txt.match
1_11.rda	1_11.rda	0.708974797549861	1	11	1_11.txt.match
1_12.rda	1_12.rda	0.684498834857976	1	12	1_12.txt.match
1_13.rda	1_13.rda	0.479870443364155	1	13	1_13.txt.match
1_14.rda	1_14.rda	0.887934898306677	1	14	1_14.txt.match
1_15.rda	1_15.rda	0.916813028783163	1	15	1_15.txt.match
1_16.rda	1_16.rda	0.389610512908767	1	16	1_16.txt.match
1_17.rda	1_17.rda	0.837019221711429	1	17	1_17.txt.match
1_18.rda	1_18.rda	0.296868599517449	1	18	1_18.txt.match
1_19.rda	1_19.rda	0.522814667996555	1	19	1_19.txt.match
1_20.rda	1_20.rda	0.743230773057233	1	20	1_20.txt.match
1_21.rda	1_21.rda	0.869373760648023	1	21	1_21.txt.match
1_22.rda	1_22.rda	0.758804577613632	1	22	1_22.txt.match
1_24.rda	1_24.rda	0.485465652239524	1	24	1_24.txt.match
1_25.rda	1_25.rda	0.487177825854014	1	25	1_25.txt.match
1_26.rda	1_26.rda	0.654109697370782	1	26	1_26.txt.match
1_27.rda	1_27.rda	0.647954921986711	1	27	1_27.txt.match
1_28.rda	1_28.rda	0.209609464842766	1	28	1_28.txt.match
1_30.rda	1_30.rda	0.870644212968771	1	30	1_30.txt.match
1_31.rda	1_31.rda	0.543595596301585	1	31	1_31.txt.match
1_32.rda	1_32.rda	0.605955648711506	1	32	1_32.txt.match
1_33.rda	1_33.rda	0.0783413213320027	1	33	1_33.txt.match
1_34.rda	1_34.rda	0.702926397982889	1	34	1_34.txt.match
1_35.rda	1_35.rda	0.557760697321204	1	35	1_35.txt.match
1_36.rda	1_36.rda	0.0612750372568045	1	36	1_36.txt.match
1_37.rda	1_37.rda	0.834809499523785	1	37	1_37.txt.match
1_38.rda	1_38.rda	0.446069110741309	1	38	1_38.txt.match
1_39.rda	1_39.rda	0.6176506119981	1	39	1_39.txt.match
1_41.rda	1_41.rda	0.828816023082749	1	41	1_41.txt.match
1_42.rda	1_42.rda	0.526074668656815	1	42	1_42.txt.match
1_43.rda	1_43.rda	0.657590741192847	1	43	1_43.txt.match
1_44.rda	1_44.rda	0.839777816046684	1	44	1_44.txt.match
1_45.rda	1_45.rda	0.352096980293087	1	45	1_45.txt.match
1_46.rda	1_46.rda	0.888554199523648	1	46	1_46.txt.match
1_48.rda	1_48.rda	0.283518419820806	1	48	1_48.txt.match
1_49.rda	1_49.rda	0.484281838143521	1	49	1_49.txt.match
1_50.rda	1_50.rda	0.13733846056071	1	50	1_50.txt.match
1_51.rda	1_51.rda	0.140460576317712	1	51	1_51.txt.match
1_52.rda	1_52.rda	0.125938190416512	1	52	1_52.txt.match
1_53.rda	1_53.rda	0.717466496138471	1	53	1_53.txt.match
1_54.rda	1_54.rda	0.570104358874978	1	54	1_54.txt.match
1_55.rda	1_55.rda	0.620139339537084	1	55	1_55.txt.match
1_56.rda	1_56.rda	0.727039885424972	1	56	1_56.txt.match
1_58.rda	1_58.rda	0.700967920495938	1	58	1_58.txt.match
1_59.rda	1_59.rda	0.999999952325364	1	59	1_59.txt.match
1_60.rda	1_60.rda	0.880685988657272	1	60	1_60.txt.match
1_62.rda	1_62.rda	0.370910475622658	1	62	1_62.txt.match
1_65.rda	1_65.rda	0.96658456515757	1	65	1_65.txt.match
1_66.rda	1_66.rda	0.915413481981638	1	66	1_66.txt.match
1_67.rda	1_67.rda	0.621421817935088	1	67	1_67.txt.match
1_68.rda	1_68.rda	0.868806668427088	1	68	1_68.txt.match
1_69.rda	1_69.rda	0.999999982478242	1	69	1_69.txt.match
2_3.rda	2_3.rda	0.924145882666439	2	3	2_3.txt.match
2_4.rda	2_4.rda	0.89883195937037	2	4	2_4.txt.match
2_5.rda	2_5.rda	0.159175120823805	2	5	2_5.txt.match
2_6.rda	2_6.rda	0.982850638067792	2	6	2_6.txt.match
2_7.rda	2_7.rda	0.866676248214283	2	7	2_7.txt.match
2_8.rda	2_8.rda	0.768487258509647	2	8	2_8.txt.match
2_9.rda	2_9.rda	0.786587531673977	2	9	2_9.txt.match
2_10.rda	2_10.rda	0.78406128613552	2	10	2_10.txt.match
2_11.rda	2_11.rda	0.799917259779165	2	11	2_11.txt.match
2_12.rda	2_12.rda	0.764623281911564	2	12	2_12.txt.match
2_13.rda	2_13.rda	0.566514581727404	2	13	2_13.txt.match
2_14.rda	2_14.rda	0.924223925011876	2	14	2_14.txt.match
2_15.rda	2_15.rda	0.946569708870277	2	15	2_15.txt.match
2_16.rda	2_16.rda	0.359582636380804	2	16	2_16.txt.match
2_17.rda	2_17.rda	0.891095974020283	2	17	2_17.txt.match
2_18.rda	2_18.rda	0.275788936734763	2	18	2_18.txt.match
2_19.rda	2_19.rda	0.523621451379162	2	19	2_19.txt.match
2_20.rda	2_20.rda	0.812539508093985	2	20	2_20.txt.match
2_21.rda	2_21.rda	0.912737209925356	2	21	2_21.txt.match
2_22.rda	2_22.rda	0.822799629943414	2	22	2_22.txt.match
2_24.rda	2_24.rda	0.447216342959366	2	24	2_24.txt.match
2_25.rda	2_25.rda	0.440734222400893	2	25	2_25.txt.match
2_26.rda	2_26.rda	0.727156501907691	2	26	2_26.txt.match
2_27.rda	2_27.rda	0.710230189073766	2	27	2_27.txt.match
2_28.rda	2_28.rda	0.350253158635333	2	28	2_28.txt.match
2_30.rda	2_30.rda	0.910880838756623	2	30	2_30.txt.match
2_31.rda	2_31.rda	0.594652685038113	2	31	2_31.txt.match
2_32.rda	2_32.rda	0.725850942047167	2	32	2_32.txt.match
2_33.rda	2_33.rda	0.0777129805800565	2	33	2_33.txt.match
2_34.rda	2_34.rda	0.649570306552874	2	34	2_34.txt.match
2_35.rda	2_35.rda	0.504172513804791	2	35	2_35.txt.match
2_36.rda	2_36.rda	0.0868768033655926	2	36	2_36.txt.match
2_37.rda	2_37.rda	0.891325208590616	2	37	2_37.txt.match
2_38.rda	2_38.rda	0.555466975028207	2	38	2_38.txt.match
2_39.rda	2_39.rda	0.732204608252207	2	39	2_39.txt.match
2_41.rda	2_41.rda	0.858615192816005	2	41	2_41.txt.match
2_42.rda	2_42.rda	0.627160379059827	2	42	2_42.txt.match
2_43.rda	2_43.rda	0.733647186001299	2	43	2_43.txt.match
2_44.rda	2_44.rda	0.875766114508403	2	44	2_44.txt.match
2_45.rda	2_45.rda	0.336438631769183	2	45	2_45.txt.match
2_46.rda	2_46.rda	0.903448780060491	2	46	2_46.txt.match
2_48.rda	2_48.rda	0.253284968821048	2	48	2_48.txt.match
2_49.rda	2_49.rda	0.509934929246671	2	49	2_49.txt.match
2_50.rda	2_50.rda	0.0747667319845452	2	50	2_50.txt.match
2_51.rda	2_51.rda	0.0956003633739098	2	51	2_51.txt.match
2_52.rda	2_52.rda	0.0949444053529784	2	52	2_52.txt.match
2_53.rda	2_53.rda	0.775286156016418	2	53	2_53.txt.match
2_54.rda	2_54.rda	0.63401991196801	2	54	2_54.txt.match
2_55.rda	2_55.rda	0.673620206701566	2	55	2_55.txt.match
2_56.rda	2_56.rda	0.78320620629604	2	56	2_56.txt.match
2_58.rda	2_58.rda	0.783969469384822	2	58	2_58.txt.match
2_59.rda	2_59.rda	0.974006708785192	2	59	2_59.txt.match
2_60.rda	2_60.rda	0.922248398132246	2	60	2_60.txt.match
2_62.rda	2_62.rda	0.492535821050024	2	62	2_62.txt.match
2_65.rda	2_65.rda	0.999999935385517	2	65	2_65.txt.match
2_66.rda	2_66.rda	0.942877868542703	2	66	2_66.txt.match
2_67.rda	2_67.rda	0.70471818155093	2	67	2_67.txt.match
2_68.rda	2_68.rda	0.922341794853687	2	68	2_68.txt.match
2_69.rda	2_69.rda	0.999999742412455	2	69	2_69.txt.match
3_4.rda	3_4.rda	0.0108217904142699	3	4	3_4.txt.match
3_5.rda	3_5.rda	0.849370466820129	3	5	3_5.txt.match
3_6.rda	3_6.rda	0.999999887614815	3	6	3_6.txt.match
3_7.rda	3_7.rda	0.955619148275855	3	7	3_7.txt.match
3_8.rda	3_8.rda	0.939154027757879	3	8	3_8.txt.match
3_9.rda	3_9.rda	0.949600397542979	3	9	3_9.txt.match
3_10.rda	3_10.rda	0.999999986047006	3	10	3_10.txt.match
3_11.rda	3_11.rda	0.999999911861684	3	11	3_11.txt.match
3_12.rda	3_12.rda	0.999999269141603	3	12	3_12.txt.match
3_13.rda	3_13.rda	0.924519338761957	3	13	3_13.txt.match
3_14.rda	3_14.rda	0.965908604409312	3	14	3_14.txt.match
3_15.rda	3_15.rda	0.999999983467536	3	15	3_15.txt.match
3_16.rda	3_16.rda	0.932546461419469	3	16	3_16.txt.match
3_17.rda	3_17.rda	0.948516800966691	3	17	3_17.txt.match
3_18.rda	3_18.rda	0.937234669189702	3	18	3_18.txt.match
3_19.rda	3_19.rda	0.999999986468431	3	19	3_19.txt.match
3_20.rda	3_20.rda	0.999999966429654	3	20	3_20.txt.match
3_21.rda	3_21.rda	0.964917906401809	3	21	3_21.txt.match
3_22.rda	3_22.rda	0.940406411545471	3	22	3_22.txt.match
3_24.rda	3_24.rda	0.999999958598167	3	24	3_24.txt.match
3_25.rda	3_25.rda	0.950628634757377	3	25	3_25.txt.match
3_26.rda	3_26.rda	0.928945550615968	3	26	3_26.txt.match
3_27.rda	3_27.rda	0.943518905871213	3	27	3_27.txt.match
3_28.rda	3_28.rda	0.820561085297641	3	28	3_28.txt.match
3_30.rda	3_30.rda	0.967529977291922	3	30	3_30.txt.match
3_31.rda	3_31.rda	0.933595427292868	3	31	3_31.txt.match
3_32.rda	3_32.rda	0.950684778716227	3	32	3_32.txt.match
3_33.rda	3_33.rda	0.915179852293135	3	33	3_33.txt.match
3_34.rda	3_34.rda	0.999999996381303	3	34	3_34.txt.match
3_35.rda	3_35.rda	0.999999981582628	3	35	3_35.txt.match
3_36.rda	3_36.rda	0.893431112828936	3	36	3_36.txt.match
3_37.rda	3_37.rda	0.999999995289248	3	37	3_37.txt.match
3_38.rda	3_38.rda	0.91929428950097	3	38	3_38.txt.match
3_39.rda	3_39.rda	0.919953576889889	3	39	3_39.txt.match
3_41.rda	3_41.rda	0.941277607313702	3	41	3_41.txt.match
3_42.rda	3_42.rda	0.936749346660814	3	42	3_42.txt.match
3_43.rda	3_43.rda	0.950597116260967	3	43	3_43.txt.match
3_44.rda	3_44.rda	0.902900598463468	3	44	3_44.txt.match
3_45.rda	3_45.rda	0.95505740327511	3	45	3_45.txt.match
3_46.rda	3_46.rda	0.970854201729731	3	46	3_46.txt.match
3_48.rda	3_48.rda	0.915277921683815	3	48	3_48.txt.match
3_49.rda	3_49.rda	0.948580486894296	3	49	3_49.txt.match
3_50.rda	3_50.rda	0.913666290222985	3	50	3_50.txt.match
3_51.rda	3_51.rda	0.948697910727655	3	51	3_51.txt.match
3_52.rda	3_52.rda	0.864592146623735	3	52	3_52.txt.match
3_53.rda	3_53.rda	0.940531172821377	3	53	3_53.txt.match
3_54.rda	3_54.rda	0.914337677221717	3	54	3_54.txt.match
3_55.rda	3_55.rda	0.963858785701455	3	55	3_55.txt.match
3_56.rda	3_56.rda	0.927471307785066	3	56	3_56.txt.match
3_58.rda	3_58.rda	0.999999997194872	3	58	3_58.txt.match
3_59.rda	3_59.rda	0.999999954917448	3	59	3_59.txt.match
3_60.rda	3_60.rda	0.999999995048032	3	60	3_60.txt.match
3_62.rda	3_62.rda	0.700057764338774	3	62	3_62.txt.match
3_65.rda	3_65.rda	0.999999972050637	3	65	3_65.txt.match
3_66.rda	3_66.rda	0.999999988192097	3	66	3_66.txt.match
3_67.rda	3_67.rda	0.934815945358496	3	67	3_67.txt.match
3_68.rda	3_68.rda	0.982295501905146	3	68	3_68.txt.match
3_69.rda	3_69.rda	0.999999999240938	3	69	3_69.txt.match
4_5.rda	4_5.rda	0.855169722770857	4	5	4_5.txt.match
4_6.rda	4_6.rda	0.999999931363503	4	6	4_6.txt.match
4_7.rda	4_7.rda	0.96755638923382	4	7	4_7.txt.match
4_8.rda	4_8.rda	0.962015124451026	4	8	4_8.txt.match
4_9.rda	4_9.rda	0.937156646694951	4	9	4_9.txt.match
4_10.rda	4_10.rda	0.999997524619487	4	10	4_10.txt.match
4_11.rda	4_11.rda	0.999999707827863	4	11	4_11.txt.match
4_12.rda	4_12.rda	0.970365051938208	4	12	4_12.txt.match
4_13.rda	4_13.rda	0.922694534605169	4	13	4_13.txt.match
4_14.rda	4_14.rda	0.969042979813612	4	14	4_14.txt.match
4_15.rda	4_15.rda	0.999999987462498	4	15	4_15.txt.match
4_16.rda	4_16.rda	0.939512944754388	4	16	4_16.txt.match
4_17.rda	4_17.rda	0.926074027234891	4	17	4_17.txt.match
4_18.rda	4_18.rda	0.925645362916245	4	18	4_18.txt.match
4_19.rda	4_19.rda	0.999999950390108	4	19	4_19.txt.match
4_20.rda	4_20.rda	0.968487559341929	4	20	4_20.txt.match
4_21.rda	4_21.rda	0.96349703898023	4	21	4_21.txt.match
4_22.rda	4_22.rda	0.94576441010794	4	22	4_22.txt.match
4_24.rda	4_24.rda	0.999999905488817	4	24	4_24.txt.match
4_25.rda	4_25.rda	0.961260654163035	4	25	4_25.txt.match
4_26.rda	4_26.rda	0.917067446478659	4	26	4_26.txt.match
4_27.rda	4_27.rda	0.934808677973639	4	27	4_27.txt.match
4_28.rda	4_28.rda	0.796740770103088	4	28	4_28.txt.match
4_30.rda	4_30.rda	0.961651855082361	4	30	4_30.txt.match
4_31.rda	4_31.rda	0.911482296656647	4	31	4_31.txt.match
4_32.rda	4_32.rda	0.939427335606621	4	32	4_32.txt.match
4_33.rda	4_33.rda	0.925872583774942	4	33	4_33.txt.match
4_34.rda	4_34.rda	0.999999997872846	4	34	4_34.txt.match
4_35.rda	4_35.rda	0.945598066200506	4	35	4_35.txt.match
4_36.rda	4_36.rda	0.907773020079819	4	36	4_36.txt.match
4_37.rda	4_37.rda	0.999999957492589	4	37	4_37.txt.match
4_38.rda	4_38.rda	0.954626459755673	4	38	4_38.txt.match
4_39.rda	4_39.rda	0.933457299309182	4	39	4_39.txt.match
4_41.rda	4_41.rda	0.950977659731739	4	41	4_41.txt.match
4_42.rda	4_42.rda	0.934660877532825	4	42	4_42.txt.match
4_43.rda	4_43.rda	0.940729193732218	4	43	4_43.txt.match
4_44.rda	4_44.rda	0.889056859102283	4	44	4_44.txt.match
4_45.rda	4_45.rda	0.94090167907731	4	45	4_45.txt.match
4_46.rda	4_46.rda	0.975362672916752	4	46	4_46.txt.match
4_48.rda	4_48.rda	0.891578629470741	4	48	4_48.txt.match
4_49.rda	4_49.rda	0.999988491731237	4	49	4_49.txt.match
4_50.rda	4_50.rda	0.915900744897529	4	50	4_50.txt.match
4_51.rda	4_51.rda	0.999999989280368	4	51	4_51.txt.match
4_52.rda	4_52.rda	0.896505860696167	4	52	4_52.txt.match
4_53.rda	4_53.rda	0.914406768104613	4	53	4_53.txt.match
4_54.rda	4_54.rda	0.913818553727834	4	54	4_54.txt.match
4_55.rda	4_55.rda	0.952051408447142	4	55	4_55.txt.match
4_56.rda	4_56.rda	0.943948100755199	4	56	4_56.txt.match
4_58.rda	4_58.rda	0.9999999845631	4	58	4_58.txt.match
4_59.rda	4_59.rda	0.999999722033774	4	59	4_59.txt.match
4_60.rda	4_60.rda	0.999999322172561	4	60	4_60.txt.match
4_62.rda	4_62.rda	0.673438862534396	4	62	4_62.txt.match
4_65.rda	4_65.rda	0.999999999543876	4	65	4_65.txt.match
4_66.rda	4_66.rda	0.999870769698303	4	66	4_66.txt.match
4_67.rda	4_67.rda	0.930530590785964	4	67	4_67.txt.match
4_68.rda	4_68.rda	0.969301009163457	4	68	4_68.txt.match
4_69.rda	4_69.rda	0.999999999337035	4	69	4_69.txt.match
5_6.rda	5_6.rda	0.922968743713206	5	6	5_6.txt.match
5_7.rda	5_7.rda	0.877063871557215	5	7	5_7.txt.match
5_8.rda	5_8.rda	0.716257668633124	5	8	5_8.txt.match
5_9.rda	5_9.rda	0.731971780653242	5	9	5_9.txt.match
5_10.rda	5_10.rda	0.705634376747241	5	10	5_10.txt.match
5_11.rda	5_11.rda	0.774381226757164	5	11	5_11.txt.match
5_12.rda	5_12.rda	0.723220484251446	5	12	5_12.txt.match
5_13.rda	5_13.rda	0.495312345230507	5	13	5_13.txt.match
5_14.rda	5_14.rda	0.885970318081662	5	14	5_14.txt.match
5_15.rda	5_15.rda	0.933937037570987	5	15	5_15.txt.match
5_16.rda	5_16.rda	0.4654096935103	5	16	5_16.txt.match
5_17.rda	5_17.rda	0.825547080604565	5	17	5_17.txt.match
5_18.rda	5_18.rda	0.355901506496628	5	18	5_18.txt.match
5_19.rda	5_19.rda	0.617399169700693	5	19	5_19.txt.match
5_20.rda	5_20.rda	0.746230315117687	5	20	5_20.txt.match
5_21.rda	5_21.rda	0.864998654218708	5	21	5_21.txt.match
5_22.rda	5_22.rda	0.758309171984646	5	22	5_22.txt.match
5_24.rda	5_24.rda	0.532348866946371	5	24	5_24.txt.match
5_25.rda	5_25.rda	0.535090959033509	5	25	5_25.txt.match
5_26.rda	5_26.rda	0.635611996324573	5	26	5_26.txt.match
5_27.rda	5_27.rda	0.612205091457218	5	27	5_27.txt.match
5_28.rda	5_28.rda	0.128360746346887	5	28	5_28.txt.match
5_30.rda	5_30.rda	0.891529981847044	5	30	5_30.txt.match
5_31.rda	5_31.rda	0.519286459440818	5	31	5_31.txt.match
5_32.rda	5_32.rda	0.615675375135703	5	32	5_32.txt.match
5_33.rda	5_33.rda	0.139706532077283	5	33	5_33.txt.match
5_34.rda	5_34.rda	0.855534330492349	5	34	5_34.txt.match
5_35.rda	5_35.rda	0.692489617727217	5	35	5_35.txt.match
5_36.rda	5_36.rda	0.085334268732181	5	36	5_36.txt.match
5_37.rda	5_37.rda	0.891908373907901	5	37	5_37.txt.match
5_38.rda	5_38.rda	0.473216464309956	5	38	5_38.txt.match
5_39.rda	5_39.rda	0.647243879290822	5	39	5_39.txt.match
5_41.rda	5_41.rda	0.85873962947956	5	41	5_41.txt.match
5_42.rda	5_42.rda	0.527393173457202	5	42	5_42.txt.match
5_43.rda	5_43.rda	0.677551574670258	5	43	5_43.txt.match
5_44.rda	5_44.rda	0.81851855349132	5	44	5_44.txt.match
5_45.rda	5_45.rda	0.362073582630451	5	45	5_45.txt.match
5_46.rda	5_46.rda	0.896575571576656	5	46	5_46.txt.match
5_48.rda	5_48.rda	0.361267241788238	5	48	5_48.txt.match
5_49.rda	5_49.rda	0.594512662886286	5	49	5_49.txt.match
5_50.rda	5_50.rda	0.249219240702456	5	50	5_50.txt.match
5_51.rda	5_51.rda	0.322581154333843	5	51	5_51.txt.match
5_52.rda	5_52.rda	0.259462663981265	5	52	5_52.txt.match
5_53.rda	5_53.rda	0.701450386305066	5	53	5_53.txt.match
5_54.rda	5_54.rda	0.537987977106958	5	54	5_54.txt.match
5_55.rda	5_55.rda	0.649351111773328	5	55	5_55.txt.match
5_56.rda	5_56.rda	0.709478238594617	5	56	5_56.txt.match
5_58.rda	5_58.rda	0.738085086458519	5	58	5_58.txt.match
5_59.rda	5_59.rda	0.95005764221881	5	59	5_59.txt.match
5_60.rda	5_60.rda	0.915395831221058	5	60	5_60.txt.match
5_62.rda	5_62.rda	0.276592638662253	5	62	5_62.txt.match
5_65.rda	5_65.rda	0.980996001339381	5	65	5_65.txt.match
5_66.rda	5_66.rda	0.923007844507743	5	66	5_66.txt.match
5_67.rda	5_67.rda	0.630323354003027	5	67	5_67.txt.match
5_68.rda	5_68.rda	0.876373973088892	5	68	5_68.txt.match
5_69.rda	5_69.rda	0.999999980586756	5	69	5_69.txt.match
6_7.rda	6_7.rda	0.841389988580003	6	7	6_7.txt.match
6_8.rda	6_8.rda	0.842255182653461	6	8	6_8.txt.match
6_9.rda	6_9.rda	0.215485687244692	6	9	6_9.txt.match
6_10.rda	6_10.rda	0.829222117798571	6	10	6_10.txt.match
6_11.rda	6_11.rda	0.801410076764377	6	11	6_11.txt.match
6_12.rda	6_12.rda	0.779799947620605	6	12	6_12.txt.match
6_13.rda	6_13.rda	0.729083325833211	6	13	6_13.txt.match
6_14.rda	6_14.rda	0.0592697234587416	6	14	6_14.txt.match
6_15.rda	6_15.rda	0.925061601443333	6	15	6_15.txt.match
6_16.rda	6_16.rda	0.939707094661352	6	16	6_16.txt.match
6_17.rda	6_17.rda	0.214267151831326	6	17	6_17.txt.match
6_18.rda	6_18.rda	0.99999997081923	6	18	6_18.txt.match
6_19.rda	6_19.rda	0.999999993931885	6	19	6_19.txt.match
6_20.rda	6_20.rda	0.742866855457918	6	20	6_20.txt.match
6_21.rda	6_21.rda	0.049038194605028	6	21	6_21.txt.match
6_22.rda	6_22.rda	0.271950681810818	6	22	6_22.txt.match
6_24.rda	6_24.rda	0.999999991031694	6	24	6_24.txt.match
6_25.rda	6_25.rda	0.999999989803881	6	25	6_25.txt.match
6_26.rda	6_26.rda	0.505835287426606	6	26	6_26.txt.match
6_27.rda	6_27.rda	0.482236107232596	6	27	6_27.txt.match
