core	outsider	nonsep	gene.name
1	29	2	14	1X8
2	27	2	16	1X17
3	11	23	11	1X37
4	14	14	17	1X39
5	23	3	19	1X54
6	19	5	21	1X107
7	15	2	28	1X164
8	19	5	21	1X453
9	30	2	13	1X520
10	33	3	9	1X550
11	12	20	13	1X638
12	12	4	29	1X768
13	12	3	30	1X773
14	19	4	22	1X859
15	13	7	25	1X1303
16	31	3	11	1X1321
17	14	5	26	1X1471
18	18	4	23	1X1554
19	10	17	18	1X1773
20	24	4	17	1X1905
21	14	13	18	1X1928
22	18	6	21	1X1936
23	28	3	14	1X2139
24	23	2	20	1X2220
25	24	12	9	1X2745
26	9	15	21	1X2780
27	6	30	9	1X2789
28	10	24	11	1X2917
29	29	2	14	1X2984
30	26	7	12	1X3085
31	30	3	12	1X3152
32	13	5	27	1X3161
33	30	5	10	1X3188
34	18	4	23	1X3284
35	9	20	16	1X3324
36	13	14	18	1X3444
37	16	18	11	1X3779
38	30	4	11	1X3784
39	31	3	11	1X3904
40	15	18	12	1X3948
41	21	2	22	1X4352
42	17	11	17	1X4381
43	28	2	15	1X4587
44	11	11	23	1X5045
45	10	9	26	1X5248
46	16	2	27	1X5414
47	18	2	25	1X5596
48	10	25	10	1X5869
49	23	8	14	1X5912
50	25	5	15	1X5991
51	27	5	13	1X6357
52	22	7	16	1X6361
53	11	19	15	1X6719
54	24	5	16	1X6764
55	24	2	19	1X6863
56	29	3	13	1X6923
57	15	4	26	1X7071
58	14	3	28	1X7090
59	25	7	13	1X7122
60	17	4	24	1X7217
61	14	9	22	1X7396
62	23	7	15	1X7397
63	15	14	16	1X7441
64	12	9	24	1X7443
65	16	7	22	1X7664
66	9	15	21	1X7856
67	25	2	18	1X8099
68	13	6	26	1X8220
69	12	12	21	1X8459
70	11	5	29	1X8580
71	28	2	15	1X8846
72	28	2	15	1X9006
73	18	8	19	1X9009
74	18	16	11	1X9046
75	11	3	31	1X9073
76	12	17	16	1X9076
77	20	6	19	1X9103
78	31	3	11	1X9145
79	13	9	23	1X9191
80	22	13	10	1X9472
81	13	16	16	1X9503
82	33	4	8	1X9657
83	14	22	9	1X10411
84	12	21	12	1X10553
85	27	4	14	1X10874
86	16	9	20	1X10920
87	11	20	14	1X10937
88	11	6	28	1X10970
89	13	13	19	1X11093
90	17	6	22	1X11179
91	24	2	19	1X11218
92	12	12	21	1X11220
93	18	9	18	1X11262
94	24	4	17	1X11362
95	12	15	18	1X11490
96	37	2	6	1X11496
97	27	3	15	1X11531
98	27	5	13	1X11671
99	23	4	18	1X11759
100	25	4	16	1X11764
101	25	4	16	1X11766
102	12	3	30	1X11962
103	22	4	19	1X12210
104	30	4	11	1X12489
105	12	4	29	1X12521
106	22	3	20	1X12535
107	15	8	22	1X12537
108	10	11	24	1X12565
109	14	7	24	1X12617
110	13	10	22	1X12624
111	22	3	20	1X12702
112	17	12	16	1X12709
113	18	5	22	1X12729
114	28	5	12	1X12814
115	16	14	15	1X12820
116	32	2	11	1X13059
117	24	4	17	1X13142
118	16	9	20	1X13255
119	31	4	10	1X13359
120	32	5	8	1X13363
121	15	7	23	1X13433
122	29	2	14	1X13482
123	19	13	13	1X13536
124	22	12	11	1X13856
125	24	3	18	1X13857
126	7	20	18	1X13930
127	11	16	18	1X14101
128	18	9	18	1X14300
129	28	2	15	1X14493
130	19	2	24	1X14536
131	12	12	21	1X14539
132	24	2	19	1X14777
133	9	14	22	1X14827
134	9	14	22	1X14884
135	17	2	26	1X15159
136	21	8	16	1X15260
137	9	21	15	1X15353
138	17	2	26	1X15667
139	17	2	26	1X15780
140	17	6	22	1X15856
141	22	2	21	1X15996
142	19	4	22	1X16265
143	16	15	14	1X16376
144	28	3	14	1X16379
145	20	11	14	1X16392
146	16	8	21	1X16433
147	33	3	9	1X16532
148	30	6	9	1X16545
149	26	5	14	1X16637
150	23	2	20	1X16730
151	33	2	10	1X16757
152	29	4	12	1X16764
153	27	4	14	1X16801
154	11	17	17	1X16834
155	30	2	13	1X16844
156	16	2	27	1X17137
157	18	7	20	1X17236
158	27	9	9	1X17239
159	23	9	13	1X17244
160	28	2	15	1X17285
161	13	2	30	1X17292
162	32	3	10	1X17345
163	25	2	18	1X17485
164	22	4	19	1X17489
165	11	18	16	1X17553
166	31	3	11	1X17584
167	16	17	12	1X17621
168	14	17	14	1X17694
169	25	6	14	1X17727
170	14	19	12	1X17745
171	21	8	16	1X17751
172	22	2	21	1X17821
173	17	4	24	1X18274
174	13	17	15	1X18314
175	18	11	16	1X18459
176	18	5	22	1X18636
177	11	25	9	1X18736
178	31	3	11	1X18974
179	14	11	20	1X19251
180	26	2	17	1X19278
181	15	10	20	1X19376
182	12	18	15	1X19436
183	34	2	9	1X19584
184	17	4	24	1X19608
185	19	2	24	1X19675
186	10	14	21	1X19700
187	32	5	8	1X19811
188	25	2	18	1X19936
189	26	2	17	1X19941
