core	outsider	nonsep	gene.name
1	22	1	22	1X10
2	37	1	7	1X95
3	37	1	7	1X101
4	30	1	14	1X177
5	19	1	25	1X679
6	19	1	25	1X851
7	24	1	20	1X1037
8	35	1	9	1X1331
9	33	1	11	1X1376
10	35	1	9	1X1505
11	34	1	10	1X1778
12	18	1	26	1X1918
13	19	1	25	1X2003
14	27	1	17	1X2015
15	33	1	11	1X2088
16	33	1	11	1X2162
17	28	1	16	1X2464
18	18	1	26	1X2897
19	31	1	13	1X2999
20	25	1	19	1X3192
21	30	1	14	1X3226
22	29	1	15	1X3474
23	17	1	27	1X3531
24	14	1	30	1X4071
25	34	1	10	1X4423
26	36	1	8	1X4558
27	33	1	11	1X4741
28	29	1	15	1X4859
29	31	1	13	1X5127
30	24	1	20	1X5269
31	17	1	27	1X5449
32	14	1	30	1X5465
33	27	1	17	1X5659
34	28	1	16	1X5846
35	19	1	25	1X5940
36	32	1	12	1X6860
37	16	1	28	1X7350
38	31	1	13	1X7360
39	30	1	14	1X8429
40	33	1	11	1X8444
41	20	1	24	1X8670
42	25	1	19	1X8997
43	20	1	24	1X9150
44	32	1	12	1X9394
45	27	1	17	1X9534
46	25	1	19	1X10115
47	21	1	23	1X10692
48	34	1	10	1X10729
49	37	1	7	1X10767
50	32	1	12	1X11193
51	30	1	14	1X11268
52	34	1	10	1X11275
53	37	1	7	1X11539
54	37	1	7	1X11543
55	27	1	17	1X11807
56	25	1	19	1X12002
57	27	1	17	1X12069
58	32	1	12	1X12333
59	21	1	23	1X12517
60	26	1	18	1X12782
61	35	1	9	1X13724
62	34	1	10	1X14005
63	32	1	12	1X14754
64	30	1	14	1X15103
65	34	1	10	1X15929
66	31	1	13	1X15974
67	29	1	15	1X16499
68	29	1	15	1X16596
69	35	1	9	1X16602
70	34	1	10	1X16774
71	29	1	15	1X16854
72	29	1	15	1X17391
73	34	1	10	1X17416
74	29	1	15	1X17534
75	28	1	16	1X17556
76	28	1	16	1X17838
77	35	1	9	1X17942
78	31	1	13	1X18243
79	24	1	20	1X18496
80	26	1	18	1X20027
81	17	1	27	1X20515
82	34	1	10	1X20656
83	33	1	11	1X20689
84	34	1	10	1X20863
85	31	1	13	1X21605
86	34	1	10	1X22471
87	33	1	11	1X22479
88	27	1	17	1X22722
89	31	1	13	1X23163
90	34	1	10	1X23750
91	32	1	12	1X23777
92	31	1	13	1X23830
93	24	1	20	1X24056
94	34	1	10	1X24239
95	38	1	6	1X24248
96	35	1	9	1X24314
97	36	1	8	1X24328
98	36	1	8	1X24332
99	38	1	6	1X24352
100	29	1	15	1X24417
101	36	1	8	1X24600
102	30	1	14	1X24785
103	14	1	30	1X25540
104	17	1	27	1X25661
105	29	1	15	1X25775
106	32	1	12	1X25977
107	30	1	14	1X26336
108	29	1	15	1X26705
109	21	1	23	1X26785
110	35	1	9	1X27118
111	29	1	15	1X27124
112	37	1	7	1X27224
113	32	1	12	1X27695
114	28	1	16	1X27754
115	24	1	20	1X28055
116	25	1	19	1X28158
117	28	1	16	1X28243
118	30	1	14	1X28255
119	31	1	13	1X28283
120	37	1	7	1X28630
121	17	1	27	1X28743
122	29	1	15	1X28937
123	24	1	20	1X29044
124	20	1	24	1X29080
125	32	1	12	1X29491
126	35	1	9	1X29527
127	36	1	8	1X29995
128	30	1	14	1X30219
129	36	1	8	1X30499
130	30	1	14	1X30520
131	14	1	30	1X30916
132	33	1	11	1X31131
133	28	1	16	1X31656
134	28	1	16	1X31922
135	31	1	13	1X31927
136	22	1	22	1X32324
137	33	1	11	1X32354
138	33	1	11	1X32523
139	34	1	10	1X33699
140	23	1	21	1X34239
141	33	1	11	1X34613
142	29	1	15	1X34970
143	27	1	17	1X35079
144	34	1	10	1X35254
145	17	1	27	1X35274
146	21	1	23	1X36190
147	27	1	17	1X36952
148	17	1	27	1X37323
149	23	1	21	1X37895
150	19	1	25	1X38299
151	33	1	11	2X38470
152	31	1	13	2X38474
153	36	1	8	2X38567
154	34	1	10	2X38629
155	31	1	13	2X38637
156	33	1	11	2X38731
157	35	1	9	2X38763
158	36	1	8	2X38791
159	23	1	21	2X38966
160	38	1	6	2X39064
161	31	1	13	2X39076
162	33	1	11	2X39116
163	35	1	9	2X39279
164	24	1	20	2X39569
165	33	1	11	2X39760
166	24	1	20	2X39935
167	29	1	15	2X40115
168	31	1	13	2X40351
169	30	1	14	2X40457
170	32	1	12	2X40748
171	21	1	23	2X41160
172	36	1	8	2X41248
173	38	1	6	2X41287
174	32	1	12	2X41394
175	33	1	11	2X41520
176	22	1	22	2X41579
177	26	1	18	2X41711
178	30	1	14	2X41916
179	29	1	15	2X42066
180	27	1	17	2X42173
181	27	1	17	2X42179
182	38	1	6	2X42187
183	20	1	24	2X42296
184	25	1	19	2X42656
185	24	1	20	2X42723
186	37	1	7	2X43090
187	36	1	8	2X43127
188	34	1	10	2X43302
189	34	1	10	2X43369
190	35	1	9	2X43462
191	22	1	22	2X43597
192	35	1	9	2X43641
193	24	1	20	2X43646
194	33	1	11	2X43946
195	34	1	10	2X44621
196	29	1	15	2X45182
197	34	1	10	2X45770
198	20	1	24	2X46137
199	35	1	9	2X46601
200	19	1	25	2X47085
201	26	1	18	2X47137
202	25	1	19	2X48196
203	35	1	9	2X48490
204	33	1	11	2X48889
205	34	1	10	2X49031
206	25	1	19	2X49183
207	27	1	17	2X49794
208	31	1	13	2X50276
209	36	1	8	2X50433
210	35	1	9	2X50941
211	34	1	10	2X51199
212	31	1	13	2X51306
213	35	1	9	2X51475
214	27	1	17	2X52218
215	27	1	17	2X52409
216	32	1	12	2X53087
217	34	1	10	2X53302
218	34	1	10	2X53516
219	36	1	8	2X53518
220	34	1	10	2X53621
221	24	1	20	2X53901
222	21	1	23	2X53972
223	34	1	10	2X53985
224	29	1	15	2X54156
225	28	1	16	2X54307
226	35	1	9	2X54568
227	35	1	9	2X54583
228	30	1	14	2X55069
229	34	1	10	2X55104
230	33	1	11	2X55308
231	22	1	22	2X55367
232	21	1	23	2X55658
233	33	1	11	2X55958
234	17	1	27	2X55976
235	33	1	11	2X55996
236	33	1	11	2X56389
237	33	1	11	2X56395
238	20	1	24	2X56403
239	26	1	18	2X56441
240	34	1	10	2X56693
241	31	1	13	2X56779
242	30	1	14	2X56892
243	28	1	16	2X56952
244	23	1	21	2X57149
245	33	1	11	2X57264
246	37	1	7	2X57266
247	37	1	7	2X57346
248	35	1	9	2X57522
249	38	1	6	2X57686
250	34	1	10	2X57714
251	38	1	6	2X57778
252	37	1	7	2X57844
253	31	1	13	2X57853
254	34	1	10	2X57855
255	24	1	20	2X58104
256	25	1	19	2X58325
257	34	1	10	2X58374
258	33	1	11	2X58380
259	27	1	17	2X58548
260	35	1	9	2X58609
261	26	1	18	2X58720
262	34	1	10	2X58745
263	33	1	11	2X59048
264	35	1	9	2X59051
265	28	1	16	2X59087
266	34	1	10	2X59090
267	30	1	14	2X59094
268	23	1	21	2X59246
269	37	1	7	2X59580
270	28	1	16	2X59630
271	33	1	11	2X59643
272	31	1	13	2X59975
273	25	1	19	2X60111
274	28	1	16	2X62401
275	22	1	22	2X62698
276	32	1	12	2X63032
277	38	1	6	2X64148
278	24	1	20	2X64392
279	15	1	29	2X64582
280	21	1	23	2X64848
281	28	1	16	2X65484
282	29	1	15	2X65805
283	19	1	25	2X65969
284	34	1	10	2X66078
285	23	1	21	2X67442
286	30	1	14	2X68320
287	37	1	7	3X68625
288	30	1	14	3X69263
289	41	1	3	3X69264
290	38	1	6	3X69280
291	36	1	8	3X69356
292	33	1	11	3X70156
293	41	1	3	3X70348
294	40	1	4	3X70729
295	42	1	2	3X72114
296	42	1	2	3X72288
297	40	1	4	3X72378
298	38	1	6	3X72667
299	42	1	2	3X72735
300	41	1	3	3X73057
301	38	1	6	3X73066
302	41	1	3	3X73072
303	38	1	6	3X73124
304	32	1	12	3X73343
305	42	1	2	3X73397
306	30	1	14	3X73678
307	36	1	8	3X74062
308	40	1	4	4X74876
309	40	1	4	4X75432
310	39	1	5	4X75945
311	42	1	2	4X76140
312	41	1	3	4X76821
313	42	1	2	4X76905
314	36	1	8	4X77756
315	40	1	4	4X78833
316	42	1	2	4X78922
317	42	1	2	4X78961
318	42	1	2	4X79121
319	35	1	9	4X79764
320	42	1	2	4X80645
321	41	1	3	4X80773
322	32	1	12	5X81338
323	31	1	13	5X81360
324	34	1	10	5X82484
325	37	1	7	5X82520
326	18	1	26	5X82709
327	36	1	8	5X83428
328	28	1	16	5X83747
329	37	1	7	5X83845
330	23	1	21	5X84089
331	36	1	8	5X84566
332	21	1	23	5X84700
333	31	1	13	5X84738
334	33	1	11	5X84818
335	29	1	15	5X85624
336	34	1	10	5X85687
337	25	1	19	5X86168
338	25	1	19	5X86583
339	22	1	22	5X86922
340	25	1	19	5X87524
341	25	1	19	5X87718
342	25	1	19	5X87752
343	30	1	14	5X88231
344	38	1	6	5X88480
345	35	1	9	5X88632
346	30	1	14	5X88738
347	36	1	8	5X88949
348	36	1	8	5X89319
349	24	1	20	5X89971
350	28	1	16	5X90919
351	34	1	10	5X91627
352	26	1	18	5X91671
353	24	1	20	5X91748
354	23	1	21	5X92342
355	22	1	22	5X92412
356	28	1	16	5X93910
357	25	1	19	5X94529
358	36	1	8	5X94687
359	36	1	8	5X94932
360	29	1	15	5X94949
361	30	1	14	5X95309
362	33	1	11	5X95677
363	22	1	22	5X95702
364	31	1	13	5X95729
365	34	1	10	5X95900
366	23	1	21	5X96192
367	24	1	20	5X96474
368	20	1	24	5X97400
369	29	1	15	5X97677
370	37	1	7	5X97947
371	25	1	19	5X98157
372	33	1	11	5X98913
373	36	1	8	5X98994
374	29	1	15	5X99348
375	30	1	14	5X100218
376	32	1	12	5X100313
377	34	1	10	5X100763
378	25	1	19	5X100968
379	20	1	24	5X101014
380	31	1	13	5X101150
381	19	1	25	5X102238
382	25	1	19	5X102591
383	33	1	11	5X102870
384	23	1	21	5X103025
385	30	1	14	5X103155
386	25	1	19	5X103527
387	22	1	22	5X103647
388	34	1	10	5X103773
389	34	1	10	5X103854
390	37	1	7	5X104451
391	29	1	15	5X104628
392	35	1	9	5X105309
393	23	1	21	5X105344
394	30	1	14	5X105976
395	30	1	14	5X106012
396	36	1	8	5X106040
397	35	1	9	5X106187
398	35	1	9	5X106194
399	34	1	10	5X106339
400	34	1	10	5X106650
401	30	1	14	5X107155
402	37	1	7	5X108111
403	37	1	7	5X108739
404	24	1	20	5X108741
405	29	1	15	5X109630
406	19	1	25	5X110436
407	18	1	26	5X110512
408	27	1	17	5X110647
409	19	1	25	5X110818
410	27	1	17	5X110964
411	22	1	22	5X111441
412	33	1	11	5X111474
413	34	1	10	5X111494
414	31	1	13	5X111765
415	28	1	16	5X112026
416	26	1	18	5X112126
417	20	1	24	5X112272
418	31	1	13	5X112847
419	31	1	13	5X113149
420	25	1	19	5X113161
421	34	1	10	5X113236
422	34	1	10	5X113937
423	34	1	10	5X113994
424	36	1	8	5X114677
425	37	1	7	5X114826
426	22	1	22	5X115691
427	31	1	13	5X115938
428	34	1	10	5X116119
429	30	1	14	5X117046
430	29	1	15	5X117117
431	27	1	17	5X117299
432	18	1	26	5X117379
433	23	1	21	5X117395
434	38	1	6	5X117714
435	30	1	14	5X119021
436	35	1	9	5X119360
437	21	1	23	5X119363
438	30	1	14	5X119745
439	34	1	10	5X119760
440	26	1	18	5X119826
441	32	1	12	5X119976
442	24	1	20	5X120046
443	34	1	10	5X120129
444	24	1	20	5X120302
445	25	1	19	5X120373
446	19	1	25	5X120385
447	36	1	8	5X120537
448	30	1	14	5X120626
449	33	1	11	5X120639
450	36	1	8	5X120732
451	34	1	10	5X120895
452	36	1	8	5X120909
453	32	1	12	5X121281
454	18	1	26	5X121410
455	28	1	16	5X121412
456	24	1	20	5X121532
457	31	1	13	5X121636
458	28	1	16	5X121994
459	32	1	12	5X122612
460	28	1	16	5X122707
461	32	1	12	5X122961
462	38	1	6	5X123033
463	17	1	27	5X123638
464	38	1	6	5X124553
465	25	1	19	5X125293
466	33	1	11	5X125676
467	30	1	14	5X125922
468	19	1	25	5X125957
469	23	1	21	5X126166
470	27	1	17	5X126427
471	28	1	16	5X126477
472	25	1	19	5X126479
473	20	1	24	5X126530
474	34	1	10	5X126937
475	20	1	24	5X126939
476	31	1	13	5X128229
477	34	1	10	5X128274
478	34	1	10	5X128394
479	36	1	8	5X128866
480	34	1	10	5X128876
481	37	1	7	5X128920
482	36	1	8	5X128945
483	34	1	10	5X129068
484	36	1	8	5X129147
485	36	1	8	5X129151
486	32	1	12	5X129158
487	32	1	12	5X129249
488	27	1	17	5X129453
489	29	1	15	5X129661
490	37	1	7	5X130974
491	20	1	24	5X131069
492	23	1	21	5X131271
493	31	1	13	5X131703
494	34	1	10	5X132728
495	19	1	25	5X132775
496	19	1	25	5X132844
497	25	1	19	5X132887
498	19	1	25	5X133078
499	31	1	13	5X133128
500	30	1	14	5X133230
501	29	1	15	5X133429
502	38	1	6	5X133509
503	35	1	9	5X134158
504	32	1	12	5X134409
505	35	1	9	5X134826
506	28	1	16	5X134844
507	37	1	7	5X137437
508	22	1	22	5X138427
509	35	1	9	5X139045
510	29	1	15	6X139444
511	33	1	11	6X139446
512	26	1	18	6X142239
513	30	1	14	6X142301
514	33	1	11	6X142575
515	34	1	10	6X147010
516	27	1	17	6X147618
517	32	1	12	6X147620
518	27	1	17	6X149433
519	28	1	16	6X149617
520	31	1	13	6X149784
521	30	1	14	6X150715
522	31	1	13	6X150809
523	33	1	11	6X150862
524	32	1	12	6X150878
525	30	1	14	6X157331
526	30	1	14	6X157596
527	27	1	17	6X157952
528	27	1	17	6X157978
529	28	1	16	6X158431
530	29	1	15	6X159903
531	34	1	10	6X161602
532	30	1	14	6X161603
533	35	1	9	6X161604
534	25	1	19	6X162917
535	32	1	12	6X163978
536	32	1	12	6X164365
537	34	1	10	6X164377
538	30	1	14	6X165056
539	28	1	16	6X166477
540	34	1	10	6X167348
541	33	1	11	6X167352
542	33	1	11	6X167354
543	27	1	17	6X167874
544	34	1	10	6X169739
545	32	1	12	6X170425
546	36	1	8	6X176883
547	31	1	13	6X176886
548	34	1	10	6X176892
549	27	1	17	6X177542
550	30	1	14	6X181215
551	35	1	9	6X183069
552	35	1	9	6X183074
553	28	1	16	6X184365
554	29	1	15	6X185783
555	28	1	16	6X186941
556	31	1	13	6X189197
557	23	1	21	6X190920
558	26	1	18	6X194922
559	33	1	11	6X197917
560	24	1	20	6X198330
561	33	1	11	6X198701
562	31	1	13	6X200475
563	35	1	9	6X201512
564	25	1	19	6X209178
565	28	1	16	6X215334
566	29	1	15	6X217030
567	31	1	13	6X217380
568	28	1	16	6X218788
569	25	1	19	6X220386
570	29	1	15	6X220389
571	28	1	16	6X221804
572	27	1	17	6X222015
573	32	1	12	6X222280
574	34	1	10	6X223019
575	26	1	18	6X226377
576	36	1	8	6X227357
577	31	1	13	6X227358
578	21	1	23	6X228082
579	26	1	18	6X229240
580	26	1	18	6X229629
581	27	1	17	6X230329
582	30	1	14	6X232183
583	26	1	18	6X235374
584	31	1	13	6X236014
585	24	1	20	6X236526
586	34	1	10	6X237663
587	34	1	10	6X237830
