core	outsider	nonsep	gene.name
1	39	0	6	1X59
2	39	0	6	1X70
3	39	0	6	1X82
4	39	0	6	1X91
5	39	0	6	1X109
6	39	0	6	1X114
7	39	0	6	1X119
8	39	0	6	1X156
9	39	0	6	1X161
10	39	0	6	1X170
11	39	0	6	1X178
12	39	0	6	1X336
13	39	0	6	1X342
14	39	0	6	1X372
15	39	0	6	1X373
16	39	0	6	1X377
17	39	0	6	1X384
18	39	0	6	1X389
19	39	0	6	1X395
20	39	0	6	1X398
21	39	0	6	1X402
22	39	0	6	1X404
23	39	0	6	1X407
24	39	0	6	1X411
25	39	0	6	1X413
26	39	0	6	1X415
27	39	0	6	1X421
28	39	0	6	1X425
29	39	0	6	1X438
30	39	0	6	1X501
31	39	0	6	1X505
32	39	0	6	1X508
33	39	0	6	1X534
34	39	0	6	1X556
35	39	0	6	1X560
36	39	0	6	1X647
37	39	0	6	1X655
38	39	0	6	1X666
39	39	0	6	1X681
40	39	0	6	1X699
41	39	0	6	1X702
42	39	0	6	1X739
43	39	0	6	1X741
44	39	0	6	1X742
45	39	0	6	1X744
46	39	0	6	1X749
47	39	0	6	1X751
48	39	0	6	1X755
49	39	0	6	1X759
50	39	0	6	1X763
51	39	0	6	1X769
52	39	0	6	1X774
53	39	0	6	1X784
54	39	0	6	1X786
55	39	0	6	1X791
56	39	0	6	1X799
57	39	0	6	1X886
58	39	0	6	1X947
59	39	0	6	1X986
60	39	0	6	1X988
61	39	0	6	1X1031
62	39	0	6	1X1048
63	39	0	6	1X1051
64	39	0	6	1X1080
65	39	0	6	1X1089
66	39	0	6	1X1253
67	39	0	6	1X1255
68	39	0	6	1X1291
69	39	0	6	1X1297
70	39	0	6	1X1353
71	39	0	6	1X1359
72	39	0	6	1X1364
73	39	0	6	1X1381
74	39	0	6	1X1389
75	39	0	6	1X1397
76	39	0	6	1X1441
77	39	0	6	1X1447
78	39	0	6	1X1461
79	39	0	6	1X1499
80	39	0	6	1X1503
81	39	0	6	1X1561
82	39	0	6	1X1622
83	39	0	6	1X1625
84	39	0	6	1X1635
85	39	0	6	1X1643
86	39	0	6	1X1649
87	39	0	6	1X1653
88	39	0	6	1X1657
89	39	0	6	1X1659
90	39	0	6	1X1673
91	39	0	6	1X1676
92	39	0	6	1X1677
93	39	0	6	1X1681
94	39	0	6	1X1714
95	39	0	6	1X1776
96	39	0	6	1X1781
97	39	0	6	1X1786
98	39	0	6	1X1809
99	39	0	6	1X1811
100	39	0	6	1X1814
101	39	0	6	1X1819
102	39	0	6	1X1820
103	39	0	6	1X1826
104	39	0	6	1X1895
105	39	0	6	1X1915
106	39	0	6	1X1921
107	39	0	6	1X1930
108	39	0	6	1X1969
109	39	0	6	1X1999
110	39	0	6	1X2013
111	39	0	6	1X2032
