core	outsider	nonsep	gene.name
1	37	2	6	1X8
2	37	2	6	1X17
3	16	23	6	1X37
4	25	14	6	1X39
5	36	3	6	1X54
6	34	5	6	1X107
7	37	2	6	1X164
8	34	5	6	1X453
9	37	2	6	1X520
10	36	3	6	1X550
11	19	20	6	1X638
12	35	4	6	1X768
13	36	3	6	1X773
14	35	4	6	1X859
15	32	7	6	1X1303
16	36	3	6	1X1321
17	34	5	6	1X1471
18	35	4	6	1X1554
19	22	17	6	1X1773
20	35	4	6	1X1905
21	26	13	6	1X1928
22	33	6	6	1X1936
23	36	3	6	1X2139
24	37	2	6	1X2220
25	27	12	6	1X2745
26	24	15	6	1X2780
27	9	30	6	1X2789
28	15	24	6	1X2917
29	37	2	6	1X2984
30	32	7	6	1X3085
31	36	3	6	1X3152
32	34	5	6	1X3161
33	34	5	6	1X3188
34	35	4	6	1X3284
35	19	20	6	1X3324
36	25	14	6	1X3444
37	21	18	6	1X3779
38	35	4	6	1X3784
39	36	3	6	1X3904
40	21	18	6	1X3948
41	37	2	6	1X4352
42	28	11	6	1X4381
43	37	2	6	1X4587
44	28	11	6	1X5045
45	30	9	6	1X5248
46	37	2	6	1X5414
47	37	2	6	1X5596
48	14	25	6	1X5869
49	31	8	6	1X5912
50	34	5	6	1X5991
51	34	5	6	1X6357
52	32	7	6	1X6361
53	20	19	6	1X6719
54	34	5	6	1X6764
55	37	2	6	1X6863
56	36	3	6	1X6923
57	35	4	6	1X7071
58	36	3	6	1X7090
59	32	7	6	1X7122
60	35	4	6	1X7217
61	30	9	6	1X7396
62	32	7	6	1X7397
63	25	14	6	1X7441
64	30	9	6	1X7443
65	32	7	6	1X7664
66	24	15	6	1X7856
67	37	2	6	1X8099
68	33	6	6	1X8220
69	27	12	6	1X8459
70	34	5	6	1X8580
71	37	2	6	1X8846
72	37	2	6	1X9006
73	31	8	6	1X9009
74	23	16	6	1X9046
75	36	3	6	1X9073
76	22	17	6	1X9076
77	33	6	6	1X9103
78	36	3	6	1X9145
79	30	9	6	1X9191
80	26	13	6	1X9472
81	23	16	6	1X9503
82	35	4	6	1X9657
83	17	22	6	1X10411
84	18	21	6	1X10553
85	35	4	6	1X10874
86	30	9	6	1X10920
87	19	20	6	1X10937
88	33	6	6	1X10970
89	26	13	6	1X11093
90	33	6	6	1X11179
91	37	2	6	1X11218
92	27	12	6	1X11220
93	30	9	6	1X11262
94	35	4	6	1X11362
95	24	15	6	1X11490
96	37	2	6	1X11496
97	36	3	6	1X11531
98	34	5	6	1X11671
99	35	4	6	1X11759
100	35	4	6	1X11764
101	35	4	6	1X11766
102	36	3	6	1X11962
103	35	4	6	1X12210
104	35	4	6	1X12489
105	35	4	6	1X12521
106	36	3	6	1X12535
107	31	8	6	1X12537
108	28	11	6	1X12565
109	32	7	6	1X12617
