core	outsider	nonsep	gene.name
1	38	1	6	1X10
2	38	1	6	1X95
3	38	1	6	1X101
4	38	1	6	1X177
5	38	1	6	1X679
6	38	1	6	1X851
7	38	1	6	1X1037
8	38	1	6	1X1331
9	38	1	6	1X1376
10	38	1	6	1X1505
11	38	1	6	1X1778
12	38	1	6	1X1918
13	38	1	6	1X2003
14	38	1	6	1X2015
15	38	1	6	1X2088
16	38	1	6	1X2162
17	38	1	6	1X2464
18	38	1	6	1X2897
19	38	1	6	1X2999
20	38	1	6	1X3192
21	38	1	6	1X3226
22	38	1	6	1X3474
23	38	1	6	1X3531
24	38	1	6	1X4071
25	38	1	6	1X4423
26	38	1	6	1X4558
27	38	1	6	1X4741
28	38	1	6	1X4859
29	38	1	6	1X5127
30	38	1	6	1X5269
31	38	1	6	1X5449
32	38	1	6	1X5465
33	38	1	6	1X5659
34	38	1	6	1X5846
35	38	1	6	1X5940
36	38	1	6	1X6860
37	38	1	6	1X7350
38	38	1	6	1X7360
39	38	1	6	1X8429
40	38	1	6	1X8444
41	38	1	6	1X8670
42	38	1	6	1X8997
43	38	1	6	1X9150
44	38	1	6	1X9394
45	38	1	6	1X9534
46	38	1	6	1X10115
47	38	1	6	1X10692
48	38	1	6	1X10729
49	38	1	6	1X10767
50	38	1	6	1X11193
51	38	1	6	1X11268
52	38	1	6	1X11275
53	38	1	6	1X11539
54	38	1	6	1X11543
55	38	1	6	1X11807
56	38	1	6	1X12002
57	38	1	6	1X12069
58	38	1	6	1X12333
59	38	1	6	1X12517
60	38	1	6	1X12782
61	38	1	6	1X13724
62	38	1	6	1X14005
63	38	1	6	1X14754
64	38	1	6	1X15103
65	38	1	6	1X15929
66	38	1	6	1X15974
67	38	1	6	1X16499
68	38	1	6	1X16596
69	38	1	6	1X16602
70	38	1	6	1X16774
71	38	1	6	1X16854
72	38	1	6	1X17391
73	38	1	6	1X17416
74	38	1	6	1X17534
75	38	1	6	1X17556
76	38	1	6	1X17838
77	38	1	6	1X17942
78	38	1	6	1X18243
79	38	1	6	1X18496
80	38	1	6	1X20027
81	38	1	6	1X20515
82	38	1	6	1X20656
83	38	1	6	1X20689
84	38	1	6	1X20863
85	38	1	6	1X21605
86	38	1	6	1X22471
87	38	1	6	1X22479
88	38	1	6	1X22722
89	38	1	6	1X23163
