core	outsider	nonsep	gene.name
1	12	3	30	1X10
2	6	9	30	1X37
3	10	5	30	1X39
4	13	2	30	1X101
5	12	3	30	1X164
6	12	3	30	1X453
7	13	2	30	1X520
8	5	10	30	1X638
9	13	2	30	1X768
10	12	3	30	1X773
11	11	4	30	1X791
12	13	2	30	1X851
13	13	2	30	1X859
14	11	4	30	1X1303
15	9	6	30	1X1471
16	11	4	30	1X1554
17	7	8	30	1X1773
18	13	2	30	1X1809
19	13	2	30	1X1895
20	13	2	30	1X1918
21	5	10	30	1X1928
22	13	2	30	1X1969
23	13	2	30	1X2015
24	13	2	30	1X2086
25	13	2	30	1X2088
26	13	2	30	1X2464
27	12	3	30	1X2745
28	6	9	30	1X2780
29	4	11	30	1X2789
30	13	2	30	1X2897
31	5	10	30	1X2917
32	13	2	30	1X3138
33	12	3	30	1X3152
34	13	2	30	1X3161
35	13	2	30	1X3223
36	12	3	30	1X3226
37	13	2	30	1X3284
38	4	11	30	1X3324
39	6	9	30	1X3444
40	7	8	30	1X3779
41	13	2	30	1X3804
42	8	7	30	1X3948
43	12	3	30	1X4381
44	11	4	30	1X5045
45	12	3	30	1X5248
46	12	3	30	1X5449
47	12	3	30	1X5482
48	4	11	30	1X5869
49	13	2	30	1X5912
50	11	4	30	1X5991
51	8	7	30	1X6719
52	12	3	30	1X7071
53	12	3	30	1X7090
54	13	2	30	1X7217
55	11	4	30	1X7396
56	9	6	30	1X7441
57	13	2	30	1X7443
58	11	4	30	1X7664
59	9	6	30	1X7856
60	12	3	30	1X8220
61	8	7	30	1X8459
62	11	4	30	1X8580
63	13	2	30	1X8670
64	11	4	30	1X9009
65	9	6	30	1X9046
66	11	4	30	1X9073
67	11	4	30	1X9076
68	10	5	30	1X9103
69	11	4	30	1X9191
70	13	2	30	1X9472
71	9	6	30	1X9503
72	7	8	30	1X10411
73	6	9	30	1X10553
74	13	2	30	1X10740
75	9	6	30	1X10920
76	9	6	30	1X10937
77	10	5	30	1X10970
78	10	5	30	1X11093
79	13	2	30	1X11179
80	10	5	30	1X11220
81	11	4	30	1X11262
82	6	9	30	1X11490
83	13	2	30	1X11657
84	13	2	30	1X11807
85	10	5	30	1X11962
86	12	3	30	1X12210
87	13	2	30	1X12463
88	12	3	30	1X12521
89	9	6	30	1X12565
90	13	2	30	1X12617
91	10	5	30	1X12624
92	13	2	30	1X12709
93	12	3	30	1X12814
94	7	8	30	1X12820
95	13	2	30	1X13142
96	11	4	30	1X13255
97	12	3	30	1X13368
98	11	4	30	1X13433
99	13	2	30	1X13513
100	12	3	30	1X13536
101	9	6	30	1X13856
102	8	7	30	1X13930
103	7	8	30	1X14101
104	13	2	30	1X14192
105	11	4	30	1X14300
106	13	2	30	1X14493
107	10	5	30	1X14539
108	13	2	30	1X14777
109	6	9	30	1X14827
110	5	10	30	1X14884
111	13	2	30	1X15159
112	4	11	30	1X15353
113	13	2	30	1X15667
114	13	2	30	1X15780
115	13	2	30	1X15929
116	8	7	30	1X16376
117	11	4	30	1X16392
118	12	3	30	1X16433
119	13	2	30	1X16801
120	7	8	30	1X16834
121	13	2	30	1X17137
122	11	4	30	1X17489
123	8	7	30	1X17553
124	12	3	30	1X17621
125	8	7	30	1X17694
126	11	4	30	1X17745
127	12	3	30	1X17751
128	12	3	30	1X18274
129	9	6	30	1X18314
130	11	4	30	1X18459
131	5	10	30	1X18736
132	10	5	30	1X19251
133	13	2	30	1X19376
134	9	6	30	1X19436
135	7	8	30	1X19700
136	13	2	30	1X20069
137	5	10	30	1X20096
138	8	7	30	1X20398
139	13	2	30	1X20468
140	8	7	30	1X20492
141	12	3	30	1X20515
142	13	2	30	1X20527
143	11	4	30	1X20556
144	13	2	30	1X20587
145	9	6	30	1X20944
146	8	7	30	1X21005
147	7	8	30	1X21036
148	6	9	30	1X21040
149	6	9	30	1X21059
150	10	5	30	1X21362
151	12	3	30	1X21420
152	12	3	30	1X21569
153	11	4	30	1X21770
154	11	4	30	1X22176
155	11	4	30	1X22278
156	13	2	30	1X22282
157	13	2	30	1X22454
158	12	3	30	1X22474
159	10	5	30	1X22670
160	13	2	30	1X22717
161	10	5	30	1X22775
162	11	4	30	1X22855
163	10	5	30	1X22926
164	12	3	30	1X22967
165	12	3	30	1X23297
166	13	2	30	1X23459
167	13	2	30	1X23533
168	7	8	30	1X23545
169	7	8	30	1X23807
170	12	3	30	1X23841
171	7	8	30	1X23848
172	13	2	30	1X23884
173	10	5	30	1X23889
174	7	8	30	1X23910
175	12	3	30	1X24315
176	13	2	30	1X24402
177	5	10	30	1X24579
178	13	2	30	1X24596
179	8	7	30	1X24706
180	11	4	30	1X24760
181	12	3	30	1X24896
182	12	3	30	1X25012
183	13	2	30	1X25014
184	12	3	30	1X25044
185	5	10	30	1X25211
186	12	3	30	1X25373
187	8	7	30	1X25447
188	12	3	30	1X25661
189	4	11	30	1X25773
190	12	3	30	1X25873
191	10	5	30	1X25890
192	12	3	30	1X25901
193	13	2	30	1X25915
194	13	2	30	1X25965
195	7	8	30	1X26161
196	7	8	30	1X26256
197	11	4	30	1X26498
198	13	2	30	1X26561
199	13	2	30	1X26894
200	8	7	30	1X27265
201	10	5	30	1X27393
202	2	13	30	1X27394
203	5	10	30	1X27397
204	10	5	30	1X27400
205	11	4	30	1X27648
206	12	3	30	1X27860
207	11	4	30	1X27882
208	12	3	30	1X28046
209	9	6	30	1X28050
210	13	2	30	1X28055
211	13	2	30	1X28158
212	10	5	30	1X28378
213	12	3	30	1X28385
214	7	8	30	1X28387
215	6	9	30	1X28392
216	12	3	30	1X28396
217	12	3	30	1X28403
218	8	7	30	1X28453
219	13	2	30	1X28541
220	12	3	30	1X28547
221	13	2	30	1X28790
222	11	4	30	1X28792
223	9	6	30	1X28942
224	11	4	30	1X28945
225	12	3	30	1X28958
226	13	2	30	1X29221
227	12	3	30	1X29421
228	13	2	30	1X29455
229	7	8	30	1X29472
230	12	3	30	1X29475
231	8	7	30	1X29553
232	12	3	30	1X29970
233	12	3	30	1X30037
234	6	9	30	1X30105
235	13	2	30	1X30219
236	10	5	30	1X30500
237	7	8	30	1X30560
238	11	4	30	1X30777
239	13	2	30	1X30886
240	10	5	30	1X30903
241	9	6	30	1X30904
242	13	2	30	1X30952
243	5	10	30	1X30988
244	12	3	30	1X31084
245	7	8	30	1X31171
246	11	4	30	1X31200
247	12	3	30	1X31238
248	9	6	30	1X31240
249	10	5	30	1X31443
250	13	2	30	1X31580
251	11	4	30	1X31586
252	13	2	30	1X31593
253	13	2	30	1X31600
254	12	3	30	1X31651
255	7	8	30	1X32104
256	10	5	30	1X32146
257	13	2	30	1X32354
258	13	2	30	1X32539
259	12	3	30	1X32760
260	13	2	30	1X32943
261	5	10	30	1X32955
262	12	3	30	1X33033
263	11	4	30	1X33157
264	11	4	30	1X33468
265	12	3	30	1X33475
266	13	2	30	1X33678
267	5	10	30	1X33981
268	11	4	30	1X34065
269	10	5	30	1X34074
270	12	3	30	1X34243
271	13	2	30	1X34411
272	9	6	30	1X34423
273	12	3	30	1X34431
274	8	7	30	1X34945
275	5	10	30	1X34954
276	12	3	30	1X34957
277	9	6	30	1X35075
278	12	3	30	1X35096
279	11	4	30	1X35117
280	12	3	30	1X35274
281	7	8	30	1X35294
282	10	5	30	1X35333
283	8	7	30	1X35348
284	13	2	30	1X35409
285	11	4	30	1X35413
286	7	8	30	1X35419
287	7	8	30	1X35431
288	12	3	30	1X35536
289	11	4	30	1X35918
290	11	4	30	1X36099
291	12	3	30	1X36190
292	13	2	30	1X36415
293	12	3	30	1X36421
294	7	8	30	1X36424
295	9	6	30	1X36721
296	8	7	30	1X36724
297	12	3	30	1X36787
298	9	6	30	1X36957
299	13	2	30	1X37323
300	11	4	30	1X37348
301	8	7	30	1X37419
302	12	3	30	1X37726
303	12	3	30	1X37800
304	8	7	30	1X38129
305	13	2	30	1X38164
306	10	5	30	1X38176
307	13	2	30	1X38299
308	9	6	30	1X38366
309	6	9	30	1X38381
310	16	6	23	2X38473
311	10	12	23	2X38531
312	19	3	23	2X38562
313	17	5	23	2X38593
314	18	4	23	2X38616
315	17	5	23	2X38631
316	5	17	23	2X38670
317	20	2	23	2X38740
318	19	3	23	2X38781
319	18	4	23	2X39047
320	15	7	23	2X39079
321	8	14	23	2X39350
322	15	7	23	2X39487
323	19	3	23	2X39503
324	20	2	23	2X39540
325	18	4	23	2X39562
326	17	5	23	2X39808
327	20	2	23	2X39935
328	18	4	23	2X39983
329	17	5	23	2X40253
330	14	8	23	2X40258
331	19	3	23	2X40321
332	10	12	23	2X40378
333	18	4	23	2X40551
334	8	14	23	2X40737
335	6	16	23	2X40810
336	19	3	23	2X40824
337	19	3	23	2X40857
338	7	15	23	2X40873
339	18	4	23	2X40978
340	16	6	23	2X41007
341	14	8	23	2X41012
342	10	12	23	2X41021
343	19	3	23	2X41025
344	14	8	23	2X41093
345	11	11	23	2X41205
346	19	3	23	2X41383
347	14	8	23	2X41398
348	19	3	23	2X41419
349	14	8	23	2X41422
350	20	2	23	2X41478
351	20	2	23	2X41579
352	16	6	23	2X41679
353	6	16	23	2X41680
354	8	14	23	2X41684
355	16	6	23	2X41688
356	6	16	23	2X41721
357	16	6	23	2X41875
358	10	12	23	2X41892
359	16	6	23	2X42024
360	19	3	23	2X42035
361	11	11	23	2X42131
362	19	3	23	2X42296
363	19	3	23	2X42372
364	17	5	23	2X42389
365	12	10	23	2X42564
366	20	2	23	2X42568
367	18	4	23	2X42764
368	19	3	23	2X42871
369	16	6	23	2X42928
370	10	12	23	2X42941
371	12	10	23	2X42961
372	18	4	23	2X43034
373	17	5	23	2X43035
374	19	3	23	2X43114
375	16	6	23	2X43223
376	9	13	23	2X43246
377	14	8	23	2X43285
378	11	11	23	2X43292
379	18	4	23	2X43296
380	20	2	23	2X43298
381	14	8	23	2X43341
382	10	12	23	2X43400
383	20	2	23	2X43544
384	18	4	23	2X43545
385	15	7	23	2X43610
386	18	4	23	2X43645
387	8	14	23	2X43654
388	12	10	23	2X43683
389	13	9	23	2X43708
390	13	9	23	2X43725
391	15	7	23	2X43751
392	13	9	23	2X43763
393	18	4	23	2X43794
394	18	4	23	2X43824
395	10	12	23	2X43827
396	13	9	23	2X43864
397	17	5	23	2X43880
398	19	3	23	2X43945
399	16	6	23	2X44348
400	13	9	23	2X44525
401	8	14	23	2X44619
402	9	13	23	2X44634
403	15	7	23	2X45108
404	10	12	23	2X45274
405	20	2	23	2X46137
406	11	11	23	2X46416
407	12	10	23	2X46809
408	20	2	23	2X47085
409	16	6	23	2X47762
410	18	4	23	2X48187
411	15	7	23	2X48521
412	16	6	23	2X48793
413	18	4	23	2X49040
414	9	13	23	2X49643
415	16	6	23	2X49663
416	10	12	23	2X49696
417	17	5	23	2X49793
418	20	2	23	2X50276
419	13	9	23	2X50511
420	11	11	23	2X50652
421	9	13	23	2X50677
422	20	2	23	2X50708
423	19	3	23	2X50941
424	18	4	23	2X50977
425	18	4	23	2X51351
426	4	18	23	2X51428
427	20	2	23	2X51811
428	16	6	23	2X52180
429	9	13	23	2X52232
430	18	4	23	2X52362
431	18	4	23	2X52392
432	8	14	23	2X52454
433	18	4	23	2X52619
434	16	6	23	2X52775
435	9	13	23	2X52980
436	16	6	23	2X53002
437	17	5	23	2X53084
438	8	14	23	2X53309
439	9	13	23	2X53490
440	12	10	23	2X53494
441	10	12	23	2X53525
442	15	7	23	2X53694
443	11	11	23	2X53699
444	15	7	23	2X53821
445	11	11	23	2X53861
