core	outsider	nonsep	gene.name
1	14	1	30	1X54
2	14	1	30	1X95
3	14	1	30	1X156
4	14	1	30	1X679
5	14	1	30	1X699
6	14	1	30	1X741
7	14	1	30	1X763
8	14	1	30	1X799
9	14	1	30	1X1037
10	14	1	30	1X1643
11	14	1	30	1X1778
12	14	1	30	1X2003
13	14	1	30	1X2060
14	14	1	30	1X3010
15	14	1	30	1X3531
16	14	1	30	1X3552
17	14	1	30	1X4071
18	14	1	30	1X4567
19	14	1	30	1X4587
20	14	1	30	1X4797
21	14	1	30	1X4869
22	14	1	30	1X5127
23	14	1	30	1X5414
24	14	1	30	1X5465
25	14	1	30	1X5596
26	14	1	30	1X5794
27	14	1	30	1X5940
28	14	1	30	1X6361
29	14	1	30	1X6614
30	14	1	30	1X6655
31	14	1	30	1X7082
32	14	1	30	1X7350
33	14	1	30	1X7805
34	14	1	30	1X8094
35	14	1	30	1X8997
36	14	1	30	1X9390
37	14	1	30	1X9834
38	14	1	30	1X10767
39	14	1	30	1X11268
40	14	1	30	1X11616
41	14	1	30	1X12483
42	14	1	30	1X12529
43	14	1	30	1X12537
44	14	1	30	1X12729
45	14	1	30	1X13108
46	14	1	30	1X13857
47	14	1	30	1X13874
48	14	1	30	1X13932
49	14	1	30	1X14536
50	14	1	30	1X14609
51	14	1	30	1X15260
52	14	1	30	1X15856
53	14	1	30	1X16265
54	14	1	30	1X16379
55	14	1	30	1X16499
56	14	1	30	1X16730
57	14	1	30	1X16770
58	14	1	30	1X16854
59	14	1	30	1X17165
60	14	1	30	1X17236
61	14	1	30	1X17292
62	14	1	30	1X17391
63	14	1	30	1X17416
64	14	1	30	1X17534
65	14	1	30	1X17727
66	14	1	30	1X17794
67	14	1	30	1X18243
68	14	1	30	1X18357
69	14	1	30	1X18362
70	14	1	30	1X18496
71	14	1	30	1X18636
72	14	1	30	1X19608
73	14	1	30	1X19665
74	14	1	30	1X19675
75	14	1	30	1X19941
76	14	1	30	1X20406
77	14	1	30	1X21679
78	14	1	30	1X21753
79	14	1	30	1X22471
80	14	1	30	1X22531
81	14	1	30	1X22737
82	14	1	30	1X23594
83	14	1	30	1X23917
84	14	1	30	1X24220
85	14	1	30	1X24234
86	14	1	30	1X24239
87	14	1	30	1X24248
88	14	1	30	1X24314
89	14	1	30	1X24332
90	14	1	30	1X24417
91	14	1	30	1X24523
92	14	1	30	1X24804
93	14	1	30	1X24862
94	14	1	30	1X25540
95	14	1	30	1X26058
96	14	1	30	1X26228
97	14	1	30	1X26263
98	14	1	30	1X26267
99	14	1	30	1X27124
100	14	1	30	1X27236
101	14	1	30	1X27408
102	14	1	30	1X27747
103	14	1	30	1X27831
104	14	1	30	1X27926
105	14	1	30	1X27980
106	14	1	30	1X28283
107	14	1	30	1X28782
108	14	1	30	1X29044
109	14	1	30	1X29424
110	14	1	30	1X29612
111	14	1	30	1X29827
112	14	1	30	1X30033
113	14	1	30	1X30062
114	14	1	30	1X30397
115	14	1	30	1X30499
116	14	1	30	1X30520
117	14	1	30	1X30916
118	14	1	30	1X32251
119	14	1	30	1X32324
120	14	1	30	1X32340
121	14	1	30	1X32940
122	14	1	30	1X32947
123	14	1	30	1X32973
124	14	1	30	1X32978
125	14	1	30	1X33667
126	14	1	30	1X34245
127	14	1	30	1X34629
128	14	1	30	1X34970
129	14	1	30	1X35469
130	14	1	30	1X35477
131	14	1	30	1X36436
132	14	1	30	1X37711
133	14	1	30	1X37895
134	14	1	30	1X38089
135	14	1	30	1X38140
136	14	1	30	1X38172
137	21	1	23	2X38524
138	21	1	23	2X38731
139	21	1	23	2X39089
140	21	1	23	2X39234
141	21	1	23	2X39429
142	21	1	23	2X39746
143	21	1	23	2X39767
144	21	1	23	2X39774
145	21	1	23	2X39926
146	21	1	23	2X40296
147	21	1	23	2X40308
148	21	1	23	2X40351
149	21	1	23	2X40413
150	21	1	23	2X40457
151	21	1	23	2X40542
152	21	1	23	2X40965
153	21	1	23	2X41028
154	21	1	23	2X41160
155	21	1	23	2X42038
156	21	1	23	2X42066
157	21	1	23	2X42267
158	21	1	23	2X42331
159	21	1	23	2X42349
160	21	1	23	2X42545
161	21	1	23	2X42723
162	21	1	23	2X42877
163	21	1	23	2X43102
164	21	1	23	2X43121
165	21	1	23	2X43316
166	21	1	23	2X43423
167	21	1	23	2X43509
168	21	1	23	2X43517
169	21	1	23	2X43597
170	21	1	23	2X43601
171	21	1	23	2X43646
172	21	1	23	2X43946
173	21	1	23	2X47137
174	21	1	23	2X48196
175	21	1	23	2X48490
176	21	1	23	2X48889
177	21	1	23	2X49656
178	21	1	23	2X50099
179	21	1	23	2X50433
