ID_GENOME	NAME
1	Escherichia_coli_str_K_12_substr_MG1655_complete_genome
2	Bacillus_subtilis_subsp_subtilis_str_168_chromosome_complete_genome
3	Wolbachia_endosymbiont_of_Drosophila_simulans_wHa_complete_genome
4	Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel_chromosome_complete_genome
5	Sphingomonas_wittichii_RW1_chromosome_complete_genome
6	Drosophila_simulans
7	Arabidopsis_thaliana
8	Ostreococcus_tauri
9	Caenorhabditis_Elegans_Bristol_N2
10	Saccharomyces_cerevisiae_S288c
11	Cryptosporidium_parvum_Iowa_II
12	Schizosaccharomyces_pombe_972h
13	Thalassiosira_pseudonana_CCMP1335
14	Anopheles_gambiae_str_PEST
15	Encephalitozoon_cuniculi_GB_M1
16	Methanosarcina_barkeri_str_Fusaro
17	Takifugu_rubripes
18	Haloquadratum_walsbyi
19	Acidilobus_saccharovorans
20	Cryptococcus_Neoformans
21	Tribolium_castaneum
22	Ciona_intestinalis
23	Cyanidioschyzon_merolae_strain_10D
24	Pyrobaculum_aerophilum_str_IM2
25	Methanobacterium_sp_SWAN_1
26	Monosiga_brevicollis
27	Capsaspora_owczarzaki
28	Bartonella_henselae_str_Houston_1
30	Schistosoma_mansoni_puerto_rico
31	Fusarium_oxysporum_lycopersici_4287.fasta
32	Allomyces_macrogynus_ATCC_38327.fasta
33	Rubrobacter_xylanophilus_DSM_9941
34	Mycoplasma_genitalium_G37
35	Mycoplasma_gallisepticum
36	Mycobacterium_tuberculosis_H37Rv
37	Nema_parisii_ERTm1_V3
38	Cyanidioschyzon_merolae
39	Plasmodium_falciparum_3D7
40	Ichthyophthirius_multifiliis
41	Genlisea_aurea
42	Naegleria_fowleri
43	Gregarina_niphandrodes
44	Culex_pipiens
45	Archaeon_Loki_Lokiarch
46	Prunus_persica_Lowell
47	Drosophila_simulans_strain_w501
48	Synechococcus_elongatus_PCC_7942
49	Prochlorococcus_marinus_CCMP1375
50	Thermotoga_neapolitana_DSM_4359
51	Thermus_aquaticus_Y51MC23
52	Aquifex_aeolicus_VF5
53	Oikopleura_dioica
54	Dictyostelium_discoideum_AX4
55	Entamoeba_histolytica_HM_1
56	Rozella_allomycis_CSF55
57	Meloidogyne_hapla_strain_VW9
58	Pandoravirus_salinus
59	Acanthamoeba_polyphaga_mimivirus
60	Megavirus_chiliensis
62	Rickettsia_prowazekii_Madrid_E
63	Meloidogyne_hapla_VW9
64	Chondrus_crispus_Stackhouse
65	Leishmania_donovani_BPK282A1
66	Leishmania_mexicana
67	Micromonas_sp_RCC299
68	Belgica_antarctica
69	Ordospora_colligata
