file.name	rsquared
1_2.rda	1_2.rda	0.044071342001754
1_3.rda	1_3.rda	0.884831834414817
1_4.rda	1_4.rda	0.879590574849505
1_5.rda	1_5.rda	0.0754063924596909
1_6.rda	1_6.rda	0.90105017271997
1_7.rda	1_7.rda	0.848404870379858
1_8.rda	1_8.rda	0.477859642730414
1_9.rda	1_9.rda	0.72729140463593
1_10.rda	1_10.rda	0.678096104625771
1_11.rda	1_11.rda	0.711870529341218
1_12.rda	1_12.rda	0.683745496910671
1_13.rda	1_13.rda	0.478560232012461
1_14.rda	1_14.rda	0.854157577519024
1_15.rda	1_15.rda	0.770532447268332
1_16.rda	1_16.rda	0.391862171562254
1_17.rda	1_17.rda	0.838245558060155
1_18.rda	1_18.rda	0.29378304565385
1_19.rda	1_19.rda	0.517061958653958
1_20.rda	1_20.rda	0.717370546211312
1_21.rda	1_21.rda	0.850706929790821
1_22.rda	1_22.rda	0.732958298343022
1_23.rda	1_23.rda	0.999999999983428
1_24.rda	1_24.rda	0.480311130692588
1_25.rda	1_25.rda	0.486204457099544
1_26.rda	1_26.rda	0.641988250910584
1_27.rda	1_27.rda	0.619920473712936
1_28.rda	1_28.rda	0.212193180803678
1_30.rda	1_30.rda	0.860379147448661
1_31.rda	1_31.rda	0.530409442530458
1_32.rda	1_32.rda	0.614621939267459
1_33.rda	1_33.rda	0.0679593105363615
1_34.rda	1_34.rda	0.667305591255275
1_35.rda	1_35.rda	0.532686134896391
1_36.rda	1_36.rda	0.0433195771960565
1_37.rda	1_37.rda	0.814584505160163
1_38.rda	1_38.rda	0.999999999982273
1_39.rda	1_39.rda	0.62589216582307
1_40.rda	1_40.rda	0.699071890696581
1_41.rda	1_41.rda	0.820420192718027
1_42.rda	1_42.rda	0.501522921606422
1_43.rda	1_43.rda	0.670789634548591
1_44.rda	1_44.rda	0.82290331469101
1_45.rda	1_45.rda	0.30816126189498
1_46.rda	1_46.rda	0.885252325337941
2_3.rda	2_3.rda	0.870973519140001
2_4.rda	2_4.rda	0.891540741133938
2_5.rda	2_5.rda	0.112398065185192
2_6.rda	2_6.rda	0.948713602814906
2_7.rda	2_7.rda	0.871424818073456
2_8.rda	2_8.rda	0.569720792963221
2_9.rda	2_9.rda	0.780234396776217
2_10.rda	2_10.rda	0.774066890823047
2_11.rda	2_11.rda	0.782506708621243
