core	outsider	nonsep	gene.name
1	6	9	46	1X37
2	5	2	54	1X638
3	4	8	49	1X1773
4	5	8	48	1X2780
5	3	15	43	1X2789
6	8	5	48	1X3324
7	7	7	47	1X3444
8	8	6	47	1X3779
9	8	6	47	1X3948
10	4	11	46	1X5869
11	9	2	50	1X7396
12	10	2	49	1X9009
13	7	4	50	1X9076
14	9	2	50	1X9103
15	6	2	53	1X9503
16	7	2	52	1X10411
17	7	9	45	1X10553
18	7	2	52	1X11179
19	5	6	50	1X11490
20	11	2	48	1X13536
21	15	2	44	1X13856
22	6	6	49	1X13930
23	6	2	53	1X14884
24	5	7	49	1X15353
25	9	6	46	1X17745
26	7	7	47	1X18314
27	5	6	50	1X18736
28	5	3	53	1X19251
29	5	5	51	1X19436
30	5	12	44	1X20096
31	6	2	53	1X20398
32	4	9	48	1X20492
33	6	2	53	1X20944
34	3	10	48	1X21040
35	4	9	48	1X21059
36	14	2	45	1X21420
37	8	3	50	1X21569
38	5	2	54	1X22278
39	11	3	47	1X22926
40	19	3	39	1X22967
41	4	2	55	1X23807
42	4	14	43	1X24579
43	0	5	56	1X24706
44	5	10	46	1X25211
45	6	2	53	1X25234
46	6	6	49	1X25447
47	4	3	54	1X25773
48	9	6	46	1X27265
49	12	3	46	1X27393
50	1	16	44	1X27394
51	5	8	48	1X27397
52	6	4	51	1X28387
53	11	2	48	1X28945
54	9	8	44	1X29472
55	12	3	46	1X29475
56	3	8	50	1X30105
57	4	5	52	1X30560
58	8	3	50	1X30903
59	6	5	50	1X30988
60	4	8	49	1X32955
61	8	3	50	1X33468
62	6	9	46	1X33981
63	8	5	48	1X34074
64	6	3	52	1X34423
65	3	10	48	1X34945
66	5	8	48	1X34954
67	10	4	47	1X34957
68	7	5	49	1X35075
69	11	5	45	1X35333
70	6	5	50	1X35348
71	4	8	49	1X35419
72	4	5	52	1X35431
73	3	3	55	1X36021
74	5	6	50	1X36957
75	4	4	53	1X37419
76	2	10	49	2X38670
77	6	2	53	2X38744
78	8	5	48	2X39350
79	10	2	49	2X39983
80	7	3	51	2X40737
81	3	3	55	2X40810
82	22	4	35	2X40857
83	4	3	54	2X40873
84	18	3	40	2X40978
85	11	2	48	2X41205
86	7	3	51	2X41680
87	8	6	47	2X41684
88	4	8	49	2X41721
89	14	2	45	2X42764
90	10	2	49	2X42941
91	14	9	38	2X42961
92	8	2	51	2X43285
93	9	2	50	2X43400
94	5	6	50	2X43654
95	9	3	49	2X44634
96	17	3	41	2X47762
97	10	4	47	2X49643
98	5	4	52	2X49696
99	3	3	55	2X50511
100	11	3	47	2X50652
101	7	3	51	2X50677
102	6	2	53	2X51428
103	10	4	47	2X52454
104	3	3	55	2X53309
105	9	12	40	2X53525
106	7	7	47	2X53699
107	3	2	56	2X53861
108	7	2	52	2X54106
109	19	3	39	2X54159
110	5	2	54	2X54527
111	5	6	50	2X54574
112	21	2	38	2X54885
113	10	4	47	2X54957
114	17	3	41	2X54963
115	2	3	56	2X55108
116	15	2	44	2X55578
117	8	4	49	2X56073
118	6	2	53	2X56425
119	4	5	52	2X56664
120	5	8	48	2X56789
121	8	9	44	2X56838
122	10	2	49	2X57348
123	9	4	48	2X57857
124	4	5	52	2X57920
125	5	3	53	2X57965
126	10	2	49	2X58095
127	4	13	44	2X58269
128	13	4	44	2X58384
129	3	3	55	2X58411
130	6	7	48	2X58876
131	3	4	54	2X58965
132	23	3	35	2X59070
133	16	2	43	2X59243
134	17	3	41	2X59634
135	3	13	45	2X59722
136	11	4	46	2X60015
137	9	8	44	2X60130
138	5	9	47	2X61269
139	6	4	51	2X62406
140	10	3	48	2X62408
141	7	3	51	2X63096
142	8	11	42	2X63905
143	10	9	42	2X64388
144	10	5	46	2X64996
145	5	3	53	2X67585
146	11	2	48	2X67972
147	11	5	45	2X68246
148	27	7	27	3X69118
149	12	20	29	3X69119
150	14	10	37	3X69284
151	33	2	26	3X69358
152	12	28	21	3X69712
153	22	5	34	3X70153
154	13	19	29	3X70263
155	32	7	22	3X70382
156	33	6	22	3X70387
157	14	21	26	3X71250
158	11	26	24	3X71748
159	17	18	26	3X71963
160	18	12	31	3X72851
161	20	11	30	3X73205
162	23	9	29	3X73363
163	12	26	23	3X73545
164	12	39	10	3X73552
165	23	6	32	3X73713
166	31	5	25	3X73715
167	16	13	32	3X73717
168	10	28	23	3X73818
169	10	28	23	3X73827
170	28	2	31	3X73886
171	9	40	12	3X74063
172	14	16	31	3X74068
173	12	17	32	3X74069
174	13	18	30	3X74070
175	12	23	26	3X74072
176	35	2	24	3X74146
177	46	2	13	3X74237
178	17	4	40	3X74369
179	9	37	15	3X74627
180	12	33	16	4X75012
181	13	9	39	4X75219
182	18	2	41	4X75632
183	9	41	11	4X75646
184	18	3	40	4X75711
185	13	15	33	4X76127
186	7	37	17	4X76262
187	12	7	42	4X76564
188	9	34	18	4X76565
189	16	10	35	4X76568
190	14	19	28	4X76684
191	10	25	26	4X76705
192	25	2	34	4X76878
193	9	14	38	4X77083
194	20	10	31	4X77256
195	18	8	35	4X77296
196	10	20	31	4X77495
197	20	2	39	4X77629
198	28	2	31	4X77708
199	10	28	23	4X77733
200	19	4	38	4X77984
201	8	39	14	4X78115
202	10	31	20	4X78123
203	20	2	39	4X78332
204	20	2	39	4X78365
205	5	46	10	4X78558
206	21	5	35	4X78843
207	25	3	33	4X79244
208	15	4	42	4X79479
209	33	2	26	4X79772
210	20	2	39	4X80056
211	25	2	34	4X80173
212	11	12	38	4X80183
213	16	4	41	4X80303
214	17	2	42	4X80469
215	19	2	40	4X80473
216	14	14	33	4X80603
217	14	8	39	4X80607
218	24	2	35	4X80755
219	22	2	37	4X80947
220	22	2	37	4X81021
221	25	2	34	4X81114
222	9	4	48	5X81346
223	16	2	43	5X82638
224	12	4	45	5X82671
