Var2	value	sum	genome
1	1X10	outsider	3	1
2	1X37	outsider	9	1
3	1X39	outsider	5	1
4	1X164	outsider	3	1
5	1X453	outsider	3	1
6	1X638	outsider	10	1
7	1X773	outsider	3	1
8	1X791	outsider	4	1
9	1X1303	outsider	4	1
10	1X1471	outsider	6	1
11	1X1554	outsider	4	1
12	1X1773	outsider	8	1
13	1X1928	outsider	10	1
14	1X2745	outsider	3	1
15	1X2780	outsider	9	1
16	1X2789	outsider	11	1
17	1X2917	outsider	10	1
18	1X3152	outsider	3	1
19	1X3226	outsider	3	1
20	1X3324	outsider	11	1
21	1X3444	outsider	9	1
22	1X3779	outsider	8	1
23	1X3948	outsider	7	1
24	1X4381	outsider	3	1
25	1X5045	outsider	4	1
26	1X5248	outsider	3	1
27	1X5449	outsider	3	1
28	1X5482	outsider	3	1
29	1X5869	outsider	11	1
30	1X5991	outsider	4	1
31	1X6719	outsider	7	1
32	1X7071	outsider	3	1
33	1X7090	outsider	3	1
34	1X7396	outsider	4	1
35	1X7441	outsider	6	1
36	1X7664	outsider	4	1
37	1X7856	outsider	6	1
38	1X8220	outsider	3	1
39	1X8459	outsider	7	1
40	1X8580	outsider	4	1
41	1X9009	outsider	4	1
42	1X9046	outsider	6	1
43	1X9073	outsider	4	1
44	1X9076	outsider	4	1
45	1X9103	outsider	5	1
46	1X9191	outsider	4	1
47	1X9503	outsider	6	1
48	1X10411	outsider	8	1
49	1X10553	outsider	9	1
50	1X10920	outsider	6	1
51	1X10937	outsider	6	1
52	1X10970	outsider	5	1
53	1X11093	outsider	5	1
54	1X11220	outsider	5	1
55	1X11262	outsider	4	1
56	1X11490	outsider	9	1
57	1X11962	outsider	5	1
58	1X12210	outsider	3	1
59	1X12521	outsider	3	1
60	1X12565	outsider	6	1
61	1X12624	outsider	5	1
62	1X12814	outsider	3	1
63	1X12820	outsider	8	1
64	1X13255	outsider	4	1
65	1X13368	outsider	3	1
66	1X13433	outsider	4	1
67	1X13536	outsider	3	1
68	1X13856	outsider	6	1
69	1X13930	outsider	7	1
70	1X14101	outsider	8	1
71	1X14300	outsider	4	1
72	1X14539	outsider	5	1
73	1X14827	outsider	9	1
74	1X14884	outsider	10	1
75	1X15353	outsider	11	1
76	1X16376	outsider	7	1
77	1X16392	outsider	4	1
78	1X16433	outsider	3	1
79	1X16834	outsider	8	1
80	1X17489	outsider	4	1
81	1X17553	outsider	7	1
82	1X17621	outsider	3	1
83	1X17694	outsider	7	1
84	1X17745	outsider	4	1
85	1X17751	outsider	3	1
86	1X18274	outsider	3	1
87	1X18314	outsider	6	1
88	1X18459	outsider	4	1
89	1X18736	outsider	10	1
90	1X19251	outsider	5	1
91	1X19436	outsider	6	1
92	1X19700	outsider	8	1
93	1X20096	outsider	10	1
94	1X20398	outsider	7	1
95	1X20492	outsider	7	1
96	1X20515	outsider	3	1
97	1X20556	outsider	4	1
98	1X20944	outsider	6	1
99	1X21005	outsider	7	1
100	1X21036	outsider	8	1
101	1X21040	outsider	9	1
102	1X21059	outsider	9	1
103	1X21362	outsider	5	1
104	1X21420	outsider	3	1
105	1X21569	outsider	3	1
106	1X21770	outsider	4	1
107	1X22176	outsider	4	1
108	1X22278	outsider	4	1
109	1X22474	outsider	3	1
110	1X22670	outsider	5	1
111	1X22775	outsider	5	1
112	1X22855	outsider	4	1
113	1X22926	outsider	5	1
114	1X22967	outsider	3	1
115	1X23297	outsider	3	1
116	1X23545	outsider	8	1
117	1X23807	outsider	8	1
118	1X23841	outsider	3	1
119	1X23848	outsider	8	1
120	1X23889	outsider	5	1
121	1X23910	outsider	8	1
122	1X24315	outsider	3	1
123	1X24579	outsider	10	1
124	1X24706	outsider	7	1
125	1X24760	outsider	4	1
126	1X24896	outsider	3	1
127	1X25012	outsider	3	1
128	1X25044	outsider	3	1
129	1X25211	outsider	10	1
130	1X25373	outsider	3	1
131	1X25447	outsider	7	1
132	1X25661	outsider	3	1
133	1X25773	outsider	11	1
134	1X25873	outsider	3	1
135	1X25890	outsider	5	1
136	1X25901	outsider	3	1
137	1X26161	outsider	8	1
138	1X26256	outsider	8	1
139	1X26498	outsider	4	1
140	1X27265	outsider	7	1
141	1X27393	outsider	5	1
142	1X27394	outsider	13	1
143	1X27397	outsider	10	1
144	1X27400	outsider	5	1
145	1X27648	outsider	4	1
146	1X27860	outsider	3	1
147	1X27882	outsider	4	1
148	1X28046	outsider	3	1
149	1X28050	outsider	6	1
150	1X28378	outsider	5	1
151	1X28385	outsider	3	1
152	1X28387	outsider	8	1
153	1X28392	outsider	9	1
154	1X28396	outsider	3	1
155	1X28403	outsider	3	1
156	1X28453	outsider	7	1
157	1X28547	outsider	3	1
158	1X28792	outsider	4	1
159	1X28942	outsider	6	1
160	1X28945	outsider	4	1
161	1X28958	outsider	3	1
162	1X29421	outsider	3	1
163	1X29472	outsider	8	1
164	1X29475	outsider	3	1
165	1X29553	outsider	7	1
166	1X29970	outsider	3	1
167	1X30037	outsider	3	1
168	1X30105	outsider	9	1
169	1X30500	outsider	5	1
170	1X30560	outsider	8	1
171	1X30777	outsider	4	1
172	1X30903	outsider	5	1
173	1X30904	outsider	6	1
174	1X30988	outsider	10	1
175	1X31084	outsider	3	1
176	1X31171	outsider	8	1
177	1X31200	outsider	4	1
178	1X31238	outsider	3	1
179	1X31240	outsider	6	1
180	1X31443	outsider	5	1
181	1X31586	outsider	4	1
182	1X31651	outsider	3	1
183	1X32104	outsider	8	1
184	1X32146	outsider	5	1
185	1X32760	outsider	3	1
186	1X32955	outsider	10	1
187	1X33033	outsider	3	1
188	1X33157	outsider	4	1
189	1X33468	outsider	4	1
190	1X33475	outsider	3	1
191	1X33981	outsider	10	1
192	1X34065	outsider	4	1
193	1X34074	outsider	5	1
194	1X34243	outsider	3	1
195	1X34423	outsider	6	1
196	1X34431	outsider	3	1
197	1X34945	outsider	7	1
198	1X34954	outsider	10	1
199	1X34957	outsider	3	1
200	1X35075	outsider	6	1
201	1X35096	outsider	3	1
202	1X35117	outsider	4	1
203	1X35274	outsider	3	1
204	1X35294	outsider	8	1
205	1X35333	outsider	5	1
206	1X35348	outsider	7	1
207	1X35413	outsider	4	1
208	1X35419	outsider	8	1
209	1X35431	outsider	8	1
210	1X35536	outsider	3	1
211	1X35918	outsider	4	1
212	1X36099	outsider	4	1
213	1X36190	outsider	3	1
214	1X36421	outsider	3	1
215	1X36424	outsider	8	1
216	1X36721	outsider	6	1
217	1X36724	outsider	7	1
218	1X36787	outsider	3	1
219	1X36957	outsider	6	1
220	1X37348	outsider	4	1
221	1X37419	outsider	7	1
222	1X37726	outsider	3	1
223	1X37800	outsider	3	1
224	1X38129	outsider	7	1
225	1X38176	outsider	5	1
226	1X38366	outsider	6	1
227	1X38381	outsider	9	1
228	2X38473	outsider	6	2
229	2X38531	outsider	12	2
230	2X38562	outsider	3	2
231	2X38593	outsider	5	2
232	2X38616	outsider	4	2
233	2X38631	outsider	5	2
234	2X38670	outsider	17	2
235	2X38781	outsider	3	2
236	2X39047	outsider	4	2
237	2X39079	outsider	7	2
238	2X39350	outsider	14	2
239	2X39487	outsider	7	2
240	2X39503	outsider	3	2
241	2X39562	outsider	4	2
242	2X39808	outsider	5	2
243	2X39983	outsider	4	2
244	2X40253	outsider	5	2
245	2X40258	outsider	8	2
246	2X40321	outsider	3	2
247	2X40378	outsider	12	2
248	2X40551	outsider	4	2
249	2X40737	outsider	14	2
250	2X40810	outsider	16	2
251	2X40824	outsider	3	2
252	2X40857	outsider	3	2
253	2X40873	outsider	15	2
254	2X40978	outsider	4	2
255	2X41007	outsider	6	2
256	2X41012	outsider	8	2
257	2X41021	outsider	12	2
258	2X41025	outsider	3	2
259	2X41093	outsider	8	2
260	2X41205	outsider	11	2
261	2X41383	outsider	3	2
262	2X41398	outsider	8	2
263	2X41419	outsider	3	2
264	2X41422	outsider	8	2
265	2X41679	outsider	6	2
266	2X41680	outsider	16	2
267	2X41684	outsider	14	2
268	2X41688	outsider	6	2
269	2X41721	outsider	16	2
270	2X41875	outsider	6	2
271	2X41892	outsider	12	2
272	2X42024	outsider	6	2
273	2X42035	outsider	3	2
274	2X42131	outsider	11	2
275	2X42296	outsider	3	2
276	2X42372	outsider	3	2
277	2X42389	outsider	5	2
278	2X42564	outsider	10	2
279	2X42764	outsider	4	2
280	2X42871	outsider	3	2
281	2X42928	outsider	6	2
282	2X42941	outsider	12	2
283	2X42961	outsider	10	2
284	2X43034	outsider	4	2
285	2X43035	outsider	5	2
286	2X43114	outsider	3	2
287	2X43223	outsider	6	2
288	2X43246	outsider	13	2
289	2X43285	outsider	8	2
290	2X43292	outsider	11	2
291	2X43296	outsider	4	2
292	2X43341	outsider	8	2
293	2X43400	outsider	12	2
294	2X43545	outsider	4	2
295	2X43610	outsider	7	2
296	2X43645	outsider	4	2
297	2X43654	outsider	14	2
298	2X43683	outsider	10	2
299	2X43708	outsider	9	2
300	2X43725	outsider	9	2
301	2X43751	outsider	7	2
302	2X43763	outsider	9	2
303	2X43794	outsider	4	2
304	2X43824	outsider	4	2
305	2X43827	outsider	12	2
306	2X43864	outsider	9	2
307	2X43880	outsider	5	2
308	2X43945	outsider	3	2
309	2X44348	outsider	6	2
310	2X44525	outsider	9	2
311	2X44619	outsider	14	2
312	2X44634	outsider	13	2
313	2X45108	outsider	7	2
314	2X45274	outsider	12	2
315	2X46416	outsider	11	2
316	2X46809	outsider	10	2
317	2X47762	outsider	6	2
318	2X48187	outsider	4	2
319	2X48521	outsider	7	2
320	2X48793	outsider	6	2
321	2X49040	outsider	4	2
322	2X49643	outsider	13	2
323	2X49663	outsider	6	2
324	2X49696	outsider	12	2
325	2X49793	outsider	5	2
326	2X50511	outsider	9	2
327	2X50652	outsider	11	2
328	2X50677	outsider	13	2
329	2X50941	outsider	3	2
330	2X50977	outsider	4	2
331	2X51351	outsider	4	2
332	2X51428	outsider	18	2
333	2X52180	outsider	6	2
334	2X52232	outsider	13	2
335	2X52362	outsider	4	2
336	2X52392	outsider	4	2
337	2X52454	outsider	14	2
338	2X52619	outsider	4	2
339	2X52775	outsider	6	2
340	2X52980	outsider	13	2
341	2X53002	outsider	6	2
342	2X53084	outsider	5	2
343	2X53309	outsider	14	2
344	2X53490	outsider	13	2
345	2X53494	outsider	10	2
346	2X53525	outsider	12	2
347	2X53694	outsider	7	2
348	2X53699	outsider	11	2
349	2X53821	outsider	7	2
350	2X53861	outsider	11	2
351	2X54085	outsider	4	2
352	2X54106	outsider	5	2
353	2X54121	outsider	15	2
354	2X54210	outsider	4	2
355	2X54358	outsider	3	2
356	2X54527	outsider	15	2
357	2X54574	outsider	12	2
358	2X54706	outsider	8	2
359	2X54825	outsider	3	2
360	2X54885	outsider	5	2
361	2X54957	outsider	5	2
362	2X54963	outsider	5	2
363	2X55222	outsider	10	2
364	2X55578	outsider	6	2
365	2X55626	outsider	4	2
366	2X55836	outsider	5	2
367	2X55976	outsider	3	2
368	2X55982	outsider	6	2
369	2X55985	outsider	3	2
370	2X56073	outsider	13	2
371	2X56163	outsider	10	2
372	2X56213	outsider	7	2
373	2X56256	outsider	5	2
374	2X56293	outsider	6	2
375	2X56534	outsider	15	2
376	2X56664	outsider	15	2
377	2X56789	outsider	10	2
378	2X56834	outsider	3	2
379	2X56838	outsider	18	2
380	2X56901	outsider	3	2
381	2X57059	outsider	9	2
382	2X57208	outsider	3	2
383	2X57348	outsider	6	2
384	2X57369	outsider	6	2
385	2X57524	outsider	13	2
386	2X57536	outsider	9	2
387	2X57538	outsider	4	2
388	2X57662	outsider	3	2
389	2X57681	outsider	3	2
390	2X57804	outsider	3	2
391	2X57822	outsider	6	2
392	2X57851	outsider	15	2
393	2X57857	outsider	9	2
394	2X57865	outsider	3	2
395	2X57904	outsider	3	2
396	2X57920	outsider	15	2
397	2X57965	outsider	16	2
398	2X58076	outsider	12	2
399	2X58269	outsider	18	2
400	2X58288	outsider	3	2
401	2X58311	outsider	3	2
402	2X58366	outsider	6	2
403	2X58371	outsider	3	2
404	2X58384	outsider	3	2
405	2X58411	outsider	10	2
406	2X58476	outsider	10	2
407	2X58686	outsider	7	2
408	2X58737	outsider	4	2
409	2X58846	outsider	4	2
410	2X58876	outsider	17	2
411	2X58901	outsider	6	2
412	2X58931	outsider	5	2
413	2X58965	outsider	17	2
414	2X59033	outsider	5	2
415	2X59070	outsider	4	2
416	2X59216	outsider	3	2
417	2X59243	outsider	6	2
418	2X59551	outsider	13	2
419	2X59612	outsider	5	2
420	2X59634	outsider	5	2
421	2X59718	outsider	10	2
422	2X59722	outsider	16	2
423	2X59746	outsider	4	2
424	2X59786	outsider	4	2
425	2X59930	outsider	9	2
426	2X60015	outsider	7	2
427	2X60086	outsider	3	2
428	2X60106	outsider	5	2
429	2X60130	outsider	12	2
430	2X60137	outsider	5	2
431	2X60466	outsider	11	2
432	2X60830	outsider	6	2
433	2X61269	outsider	15	2
434	2X61504	outsider	14	2
435	2X62009	outsider	5	2
436	2X62049	outsider	8	2
437	2X62406	outsider	11	2
438	2X62408	outsider	13	2
439	2X62546	outsider	9	2
440	2X62550	outsider	3	2
441	2X62610	outsider	6	2
442	2X62698	outsider	3	2
443	2X63096	outsider	7	2
444	2X63500	outsider	5	2
445	2X63790	outsider	10	2
446	2X63905	outsider	13	2
447	2X64135	outsider	5	2
448	2X64152	outsider	13	2
449	2X64388	outsider	14	2
450	2X64996	outsider	8	2
451	2X65664	outsider	4	2
452	2X65913	outsider	6	2
453	2X66012	outsider	6	2
454	2X66950	outsider	3	2
455	2X67469	outsider	5	2
456	2X67941	outsider	3	2
457	2X67972	outsider	5	2
458	2X68246	outsider	12	2
459	2X68339	outsider	13	2
460	3X68733	outsider	5	3
461	3X69020	outsider	9	3
462	3X69119	outsider	29	3
463	3X69263	outsider	3	3
464	3X69280	outsider	4	3
465	3X69284	outsider	35	3
466	3X69356	outsider	5	3
467	3X69363	outsider	6	3
468	3X69460	outsider	16	3
469	3X69712	outsider	34	3
470	3X70153	outsider	14	3
471	3X70156	outsider	3	3
472	3X70173	outsider	12	3
473	3X70263	outsider	24	3
474	3X70382	outsider	23	3
475	3X70387	outsider	31	3
476	3X70430	outsider	20	3
477	3X70890	outsider	5	3
478	3X71250	outsider	34	3
479	3X71748	outsider	35	3
480	3X72188	outsider	3	3
481	3X72851	outsider	22	3
482	3X73122	outsider	20	3
483	3X73343	outsider	3	3
484	3X73363	outsider	28	3
485	3X73419	outsider	4	3
486	3X73430	outsider	26	3
487	3X73545	outsider	28	3
488	3X73552	outsider	35	3
489	3X73678	outsider	4	3
490	3X73713	outsider	30	3
491	3X73715	outsider	21	3
492	3X73717	outsider	23	3
493	3X73813	outsider	3	3
494	3X73818	outsider	34	3
495	3X73827	outsider	30	3
496	3X73881	outsider	31	3
497	3X73886	outsider	15	3
498	3X74015	outsider	22	3
499	3X74016	outsider	6	3
500	3X74062	outsider	4	3
501	3X74063	outsider	35	3
502	3X74068	outsider	34	3
503	3X74069	outsider	30	3
504	3X74070	outsider	32	3
505	3X74081	outsider	10	3
506	3X74369	outsider	27	3
507	3X74627	outsider	33	3
508	4X75012	outsider	28	4
509	4X75219	outsider	28	4
510	4X75632	outsider	23	4
511	4X75646	outsider	35	4
512	4X75655	outsider	8	4
513	4X75711	outsider	25	4
514	4X75787	outsider	4	4
515	4X76127	outsider	32	4
516	4X76138	outsider	4	4
517	4X76262	outsider	34	4
518	4X76564	outsider	33	4
519	4X76565	outsider	36	4
520	4X76568	outsider	23	4
521	4X76660	outsider	27	4
522	4X76662	outsider	7	4
523	4X76684	outsider	27	4
524	4X76705	outsider	23	4
525	4X76766	outsider	13	4
526	4X76878	outsider	9	4
527	4X77071	outsider	7	4
528	4X77079	outsider	5	4
529	4X77082	outsider	12	4
530	4X77083	outsider	29	4
531	4X77145	outsider	4	4
532	4X77163	outsider	5	4
533	4X77296	outsider	24	4
534	4X77495	outsider	25	4
