core	outsider	nonsep	gene.name
1	18	1	42	1X101
2	10	1	50	1X2086
3	3	1	57	1X2917
4	7	1	53	1X3284
5	21	1	39	1X3790
6	7	1	53	1X5596
7	9	1	51	1X5912
8	7	1	53	1X6719
9	14	1	46	1X9394
10	6	1	54	1X10937
11	9	1	51	1X11807
12	8	1	52	1X12709
13	3	1	57	1X14101
14	6	1	54	1X14827
15	6	1	54	1X16433
16	18	1	42	1X16545
17	20	1	40	1X16801
18	7	1	53	1X17553
19	8	1	52	1X17621
20	10	1	50	1X17694
21	5	1	55	1X19376
22	5	1	55	1X19700
23	6	1	54	1X20445
24	5	1	55	1X22176
25	8	1	52	1X22855
26	12	1	48	1X23884
27	19	1	41	1X24248
28	6	1	54	1X28392
29	3	1	57	1X28453
30	9	1	51	1X29421
31	14	1	46	1X29553
32	9	1	51	1X30777
33	5	1	55	1X31171
34	10	1	50	1X31651
35	12	1	48	1X32354
36	11	1	49	1X33157
37	11	1	49	1X34060
38	5	1	55	1X36424
39	11	1	49	1X36721
40	17	1	43	1X37770
41	13	1	47	1X38110
42	5	1	55	1X38129
43	13	1	47	1X38374
44	23	1	37	2X38473
45	25	1	35	2X38781
46	18	1	42	2X38859
47	7	1	53	2X39935
48	11	1	49	2X40258
49	6	1	54	2X40322
50	9	1	51	2X40378
51	10	1	50	2X41021
52	10	1	50	2X41093
53	10	1	50	2X41422
54	8	1	52	2X41455
55	12	1	48	2X43035
56	7	1	53	2X43246
57	5	1	55	2X43292
58	11	1	49	2X43610
59	12	1	48	2X43824
60	10	1	50	2X43864
61	7	1	53	2X43880
62	5	1	55	2X44348
63	8	1	52	2X46416
64	4	1	56	2X46809
65	11	1	49	2X48187
66	7	1	53	2X49379
67	16	1	44	2X49663
68	21	1	39	2X50433
69	12	1	48	2X51570
70	14	1	46	2X51939
71	16	1	44	2X52619
72	8	1	52	2X52980
73	20	1	40	2X53084
74	28	1	32	2X53504
75	13	1	47	2X53694
76	10	1	50	2X54307
77	13	1	47	2X54955
78	9	1	51	2X55222
79	10	1	50	2X55836
80	6	1	54	2X56534
81	9	1	51	2X57059
82	6	1	54	2X57093
83	26	1	34	2X57681
84	20	1	40	2X58366
85	22	1	38	2X58737
86	17	1	43	2X59193
87	7	1	53	2X59718
88	5	1	55	2X67857
89	35	1	25	3X69263
90	41	1	19	3X69280
91	18	1	42	3X70430
92	55	1	5	3X71201
93	49	1	11	3X71577
94	26	1	34	3X72527
95	36	1	24	3X72985
96	56	1	4	3X73082
97	21	1	39	3X73122
98	38	1	22	3X73124
99	49	1	11	3X73313
100	36	1	24	3X73419
101	15	1	45	3X73430
102	16	1	44	3X73881
103	15	1	45	3X74015
104	26	1	34	3X74016
105	53	1	7	3X74432
106	53	1	7	4X75581
107	42	1	18	4X75655
108	50	1	10	4X75945
109	17	1	43	4X76660
110	29	1	31	4X76766
111	53	1	7	4X76905
112	37	1	23	4X77071
113	27	1	33	4X77162
114	53	1	7	4X77537
115	54	1	6	4X77558
116	49	1	11	4X77636
117	44	1	16	4X77730
118	26	1	34	4X77983
119	39	1	21	4X78424
120	24	1	36	4X78567
121	46	1	14	4X78833
122	19	1	41	4X79652
123	50	1	10	4X79751
124	46	1	14	4X79960
125	55	1	5	4X80027
126	55	1	5	4X80447
127	37	1	23	4X80643
128	49	1	11	4X80720
129	27	1	33	4X80754
130	46	1	14	4X80773
131	57	1	3	4X80912
132	10	1	50	5X81938
133	10	1	50	5X82640
134	9	1	51	5X82903
135	11	1	49	5X86918
136	15	1	45	5X87524
137	20	1	40	5X88735
138	12	1	48	5X90202
139	11	1	49	5X90334
140	19	1	41	5X91699
141	11	1	49	5X92749
142	16	1	44	5X92908
143	9	1	51	5X93349
144	10	1	50	5X94888
145	11	1	49	5X95143
146	13	1	47	5X96283
147	11	1	49	5X96522
148	20	1	40	5X96548
149	9	1	51	5X97821
150	14	1	46	5X99159
151	6	1	54	5X101133
152	11	1	49	5X103534
153	20	1	40	5X104282
154	22	1	38	5X105082
155	6	1	54	5X106122
156	9	1	51	5X106266
157	17	1	43	5X109483
158	16	1	44	5X112851
159	22	1	38	5X114682
160	13	1	47	5X115189
161	7	1	53	5X115300
162	11	1	49	5X115635
163	8	1	52	5X116024
164	8	1	52	5X116442
165	17	1	43	5X119467
166	5	1	55	5X119672
167	9	1	51	5X120295
168	6	1	54	5X120741
169	20	1	40	5X120752
170	15	1	45	5X121586
171	10	1	50	5X121693
172	8	1	52	5X121877
173	14	1	46	5X126477
174	14	1	46	5X129348
175	12	1	48	5X129683
176	7	1	53	5X130275
177	17	1	43	5X130778
178	11	1	49	5X133515
179	8	1	52	5X133819
180	15	1	45	5X134832
181	6	1	54	5X135517
182	13	1	47	5X137960
183	7	1	53	5X138315
184	18	1	42	5X138656
185	36	1	24	6X140131
186	37	1	23	6X141044
187	37	1	23	6X145790
188	26	1	34	6X147588
189	27	1	33	6X149767
190	31	1	29	6X149784
191	39	1	21	6X153597
192	19	1	41	6X156852
193	31	1	29	6X160852
194	29	1	31	6X165226
195	38	1	22	6X165898
196	24	1	36	6X167122
197	35	1	25	6X176883
198	34	1	26	6X176886
199	34	1	26	6X177373
200	12	1	48	6X183519
201	30	1	30	6X185732
202	30	1	30	6X186157
203	40	1	20	6X186661
204	29	1	31	6X191589
205	37	1	23	6X198330
206	26	1	34	6X198344
207	28	1	32	6X198587
208	38	1	22	6X200630
209	27	1	33	6X201992
210	31	1	29	6X206165
211	30	1	30	6X215572
212	26	1	34	6X216374
213	36	1	24	6X216867
214	40	1	20	6X216983
215	34	1	26	6X217382
216	32	1	28	6X218788
217	29	1	31	6X222007
218	29	1	31	6X222278
219	29	1	31	6X228953
220	29	1	31	6X228964
221	39	1	21	6X229315
222	22	1	38	6X229400
223	30	1	30	6X230280
224	30	1	30	6X230285
225	23	1	37	6X235196
226	32	1	28	6X235681
227	33	1	27	6X235712
228	37	1	23	6X236262
229	25	1	35	6X237584
230	35	1	25	6X239743
231	36	1	24	6X240264
232	23	1	37	6X242543
233	28	1	32	6X244730
234	34	1	26	6X245634
235	19	1	41	6X246770
236	12	1	48	7X261510
237	27	1	33	7X270413
238	6	1	54	7X273586
239	20	1	40	7X275655
240	30	1	30	7X287983
241	32	1	28	7X294470
242	30	1	30	7X296912
243	29	1	31	7X299528
244	34	1	26	7X301645
245	20	1	40	7X311242
246	22	1	38	7X322324
247	4	1	56	7X331001
248	12	1	48	7X335316
249	11	1	49	7X339084
250	11	1	49	7X353330
251	11	1	49	7X366616
252	41	1	19	7X378786
253	27	1	33	7X379833
254	31	1	29	7X380137
255	7	1	53	7X396239
256	3	1	57	7X398465
257	6	1	54	7X405670
258	30	1	30	7X413002
259	8	1	52	7X419702
260	25	1	35	7X422066
261	5	1	55	7X437291
262	32	1	28	7X437295
263	9	1	51	7X447830
264	19	1	41	7X451643
265	13	1	47	7X452046
266	22	1	38	7X462526
267	26	1	34	7X471182
268	24	1	36	7X491006
269	16	1	44	7X493460
270	5	1	55	7X498216
271	3	1	57	7X498236
272	18	1	42	7X498665
273	5	1	55	7X502181
274	33	1	27	7X515937
275	6	1	54	7X517036
276	30	1	30	7X521236
277	17	1	43	7X522398
278	27	1	33	7X524100
279	9	1	51	7X526298
280	26	1	34	7X533653
281	21	1	39	7X533847
282	32	1	28	7X562233
283	18	1	42	7X568907
284	31	1	29	7X572981
285	13	1	47	7X575672
286	25	1	35	7X580665
287	5	1	55	7X584832
288	23	1	37	7X587856
289	30	1	30	7X592431
290	30	1	30	7X595283
291	3	1	57	7X605178
292	30	1	30	7X615772
293	13	1	47	7X660749
294	5	1	55	7X665517
295	30	1	30	7X671319
296	14	1	46	7X678649
297	22	1	38	7X680285
298	13	1	47	7X682208
299	22	1	38	7X686437
300	29	1	31	7X695286
301	31	1	29	7X702147
302	36	1	24	7X708326
303	26	1	34	7X710854
304	18	1	42	7X715637
305	23	1	37	7X717554
306	27	1	33	7X748244
307	4	1	56	7X756200
308	32	1	28	7X757115
309	18	1	42	7X764152
310	16	1	44	7X764802
311	17	1	43	7X771323
312	6	1	54	7X782200
313	7	1	53	7X783956
314	3	1	57	7X798819
315	4	1	56	7X803322
316	23	1	37	7X806241
317	7	1	53	7X809438
318	30	1	30	7X813441
319	33	1	27	7X822553
320	30	1	30	7X822995
321	18	1	42	7X827598
322	21	1	39	7X830435
323	4	1	56	7X837338
324	6	1	54	7X837355
325	3	1	57	7X837356
326	19	1	41	7X840613
327	18	1	42	7X848183
328	13	1	47	7X848187
329	24	1	36	7X863368
330	33	1	27	7X875348
331	27	1	33	7X885786
332	5	1	55	7X888755
333	30	1	30	7X896231
334	28	1	32	7X915885
335	18	1	42	7X920538
336	2	1	58	7X922215
337	20	1	40	7X928353
338	14	1	46	7X936355
339	20	1	40	7X941892
340	6	1	54	7X943759
341	3	1	57	7X944854
342	33	1	27	7X947637
343	11	1	49	7X948296
344	37	1	23	7X951543
345	12	1	48	8X953207
346	24	1	36	8X953242
347	13	1	47	8X954626
348	21	1	39	8X954665
349	10	1	50	8X955816
350	22	1	38	8X955921
351	22	1	38	8X955989
352	8	1	52	8X956369
353	15	1	45	8X957004
354	8	1	52	8X958231
355	9	1	51	8X958540
356	24	1	36	8X958712
357	23	1	37	8X959371
358	27	1	33	8X959771
359	17	1	43	8X960261
360	20	1	40	8X960373
361	22	1	38	8X960784
362	22	1	38	8X961308
363	6	1	54	8X961672
364	7	1	53	8X963162
365	23	1	37	8X964637
366	29	1	31	8X965828
367	22	1	38	8X966786
368	15	1	45	8X968439
369	28	1	32	8X968975
370	22	1	38	8X970140
371	23	1	37	8X971736
372	14	1	46	8X974789
373	5	1	55	8X975090
374	24	1	36	8X975522
375	16	1	44	8X975662
376	16	1	44	8X980475
377	24	1	36	8X980727
378	23	1	37	8X985812
379	13	1	47	8X986548
380	23	1	37	8X987080
381	21	1	39	8X988498
382	5	1	55	8X989005
383	21	1	39	8X990173
384	20	1	40	8X990777
385	28	1	32	8X991105
386	18	1	42	8X992528
387	10	1	50	8X992830
388	20	1	40	8X996021
389	20	1	40	8X997651
390	24	1	36	8X997690
391	24	1	36	8X998611
392	5	1	55	8X999501
393	8	1	52	8X999502
394	24	1	36	8X999548
395	29	1	31	8X1001123
396	11	1	49	8X1001253
397	21	1	39	8X1001396
398	21	1	39	8X1001677
399	6	1	54	8X1007978
400	7	1	53	8X1008177
401	28	1	32	8X1010009
402	22	1	38	8X1012023
403	29	1	31	8X1012452
404	23	1	37	8X1013408
405	22	1	38	8X1015889
406	17	1	43	8X1019335
407	12	1	48	8X1020369
408	3	1	57	8X1020432
409	24	1	36	8X1020914
410	11	1	49	8X1022033
411	21	1	39	8X1023807
412	23	1	37	8X1024058
413	29	1	31	8X1025111
414	9	1	51	8X1025773
415	13	1	47	8X1026342
416	27	1	33	8X1026446
417	24	1	36	8X1029627
418	29	1	31	8X1029989
419	23	1	37	8X1030368
420	8	1	52	8X1034098
421	6	1	54	8X1039785
422	28	1	32	8X1039882
423	5	1	55	8X1044518
424	10	1	50	8X1044550
425	23	1	37	8X1045134
426	29	1	31	8X1047355
427	12	1	48	8X1047901
428	16	1	44	8X1050458
429	25	1	35	8X1050817
430	23	1	37	8X1050823
431	8	1	52	8X1051594
432	21	1	39	8X1053885
433	8	1	52	8X1055386
434	10	1	50	8X1055512
435	17	1	43	8X1055852
436	21	1	39	8X1066172
437	21	1	39	8X1081426
438	27	1	33	8X1084430
439	9	1	51	8X1086380
440	8	1	52	9X1092015
441	22	1	38	9X1102982
442	19	1	41	9X1121248
443	26	1	34	9X1140550
444	25	1	35	9X1147319
445	11	1	49	9X1158187
446	11	1	49	9X1159959
447	8	1	52	9X1169235
448	25	1	35	9X1170078
449	21	1	39	9X1175034
450	9	1	51	9X1181939
451	21	1	39	9X1194837
452	16	1	44	9X1195841
453	18	1	42	9X1197552
454	25	1	35	9X1213515
455	24	1	36	9X1230140
456	17	1	43	9X1236398
457	10	1	50	9X1239648
458	9	1	51	9X1240632
459	25	1	35	9X1241185
460	22	1	38	9X1258737
461	24	1	36	9X1259155
462	11	1	49	9X1263482
463	25	1	35	9X1264511
464	24	1	36	9X1266089
465	23	1	37	9X1267001
466	16	1	44	9X1267298
467	18	1	42	9X1267749
468	14	1	46	9X1283547
469	18	1	42	9X1286435
470	11	1	49	9X1286477
471	24	1	36	9X1291636
472	25	1	35	9X1293103
473	22	1	38	9X1293338
474	5	1	55	9X1301957
475	9	1	51	9X1309428
476	25	1	35	9X1309898
477	25	1	35	9X1309904
478	20	1	40	9X1329014
479	25	1	35	9X1335810
480	24	1	36	9X1344310
481	24	1	36	9X1350404
482	24	1	36	9X1354590
483	14	1	46	9X1354592
484	24	1	36	9X1360670
485	11	1	49	9X1360754
486	25	1	35	9X1382789
487	15	1	45	9X1392232
488	24	1	36	9X1396288
489	24	1	36	9X1396290
490	11	1	49	9X1397660
491	9	1	51	9X1414780
492	6	1	54	9X1422096
493	20	1	40	9X1427566
494	14	1	46	9X1434277
495	25	1	35	9X1435391
496	8	1	52	9X1441875
497	10	1	50	9X1441876
498	7	1	53	9X1443981
499	23	1	37	9X1453322
500	19	1	41	9X1466001
501	24	1	36	9X1480487
502	25	1	35	9X1493714
503	8	1	52	9X1504908
504	22	1	38	9X1510066
505	25	1	35	9X1524718
506	12	1	48	9X1525841
507	23	1	37	9X1538228
508	10	1	50	9X1540456
509	9	1	51	9X1547606
510	22	1	38	9X1559474
511	18	1	42	9X1572922
512	6	1	54	9X1576841
513	10	1	50	9X1577118
514	25	1	35	9X1578882
515	18	1	42	9X1587098
516	19	1	41	9X1587105
517	21	1	39	9X1597281
518	20	1	40	9X1598914
519	23	1	37	9X1603439
520	17	1	43	9X1618850
521	24	1	36	9X1621409
522	11	1	49	9X1628266
523	14	1	46	9X1643917
524	24	1	36	9X1646726
525	25	1	35	9X1656381
526	15	1	45	9X1657424
527	25	1	35	9X1669203
528	25	1	35	9X1672791
529	18	1	42	9X1673377
530	22	1	38	9X1679608
531	10	1	50	9X1693227
532	19	1	41	9X1696122
533	25	1	35	9X1700072
534	7	1	53	9X1712432
535	25	1	35	9X1735800
536	11	1	49	9X1737844
537	24	1	36	9X1741147
538	23	1	37	9X1741148
539	12	1	48	9X1762234
540	25	1	35	9X1766159
541	20	1	40	9X1769979
542	21	1	39	9X1770004
543	25	1	35	9X1778754
544	26	1	34	9X1798815
545	25	1	35	10X1799201
546	21	1	39	10X1801902
547	14	1	46	10X1802001
548	24	1	36	10X1802270
549	21	1	39	10X1802508
550	23	1	37	10X1803976
551	27	1	33	10X1805150
552	22	1	38	10X1805919
553	6	1	54	10X1807981
554	8	1	52	10X1808133
555	21	1	39	10X1810087
556	21	1	39	10X1810134
557	24	1	36	10X1810242
558	24	1	36	10X1810748
559	13	1	47	10X1810823
560	18	1	42	10X1811341
561	22	1	38	10X1812940
562	20	1	40	10X1813640
563	23	1	37	10X1815180
564	7	1	53	10X1815453
565	25	1	35	10X1817486
566	17	1	43	10X1819078
567	25	1	35	10X1822226
568	22	1	38	10X1822395
569	24	1	36	10X1822630
570	17	1	43	10X1823049
571	8	1	52	10X1825124
572	23	1	37	10X1825257
573	6	1	54	10X1826877
574	8	1	52	10X1827577
575	15	1	45	10X1828562
576	14	1	46	10X1830106
577	27	1	33	10X1831520
578	16	1	44	10X1831547
579	24	1	36	10X1833427
580	22	1	38	10X1834532
581	24	1	36	10X1835627
582	17	1	43	10X1836239
583	16	1	44	10X1836688
584	19	1	41	10X1838240
585	25	1	35	10X1838571
586	11	1	49	10X1839489
587	27	1	33	10X1839654
588	11	1	49	10X1842597
589	21	1	39	10X1843387
590	23	1	37	10X1845560
591	21	1	39	10X1846082
592	25	1	35	10X1846861
593	16	1	44	10X1847758
594	7	1	53	10X1848846
595	23	1	37	10X1849000
596	10	1	50	10X1849699
597	8	1	52	10X1850506
598	24	1	36	10X1851031
599	16	1	44	10X1851598
600	15	1	45	10X1852896
601	22	1	38	10X1853424
602	14	1	46	10X1855974
603	13	1	47	10X1856501
604	19	1	41	10X1857044
605	4	1	56	10X1857372
606	25	1	35	10X1857892
607	11	1	49	10X1859558
608	10	1	50	10X1860518
609	17	1	43	10X1863752
610	10	1	50	10X1863866
611	17	1	43	11X1864963
612	20	1	40	11X1866044
613	26	1	34	11X1866478
614	24	1	36	11X1866555
615	18	1	42	11X1867637
616	25	1	35	11X1868124
617	9	1	51	11X1870918
618	20	1	40	11X1872194
619	18	1	42	11X1872784
620	21	1	39	11X1872893
621	25	1	35	11X1873464
622	25	1	35	11X1874342
623	24	1	36	11X1875783
624	7	1	53	11X1875847
625	26	1	34	11X1876123
626	25	1	35	11X1877120
627	12	1	48	11X1877173
628	26	1	34	11X1877942
629	25	1	35	11X1878029
630	19	1	41	11X1878359
631	24	1	36	11X1878734
632	22	1	38	11X1878969
633	23	1	37	11X1879036
634	8	1	52	11X1879293
635	25	1	35	11X1879541
636	22	1	38	11X1879690
637	24	1	36	11X1880744
638	25	1	35	11X1881582
639	24	1	36	11X1882539
640	11	1	49	11X1882788
641	11	1	49	11X1883618
642	23	1	37	11X1883677
643	24	1	36	11X1884066
644	25	1	35	11X1884173
645	22	1	38	11X1884702
646	25	1	35	11X1884829
647	25	1	35	11X1885369
648	23	1	37	11X1886033
649	24	1	36	11X1886445
650	26	1	34	11X1887341
651	23	1	37	11X1887417
652	8	1	52	11X1887685
653	11	1	49	11X1887806
654	20	1	40	11X1888592
655	10	1	50	11X1890153
656	26	1	34	11X1890724
657	25	1	35	11X1891921
658	24	1	36	11X1892782
659	26	1	34	11X1892810
660	24	1	36	11X1893073
661	20	1	40	11X1893133
662	25	1	35	11X1893835
663	15	1	45	11X1894235
664	17	1	43	11X1894297
665	11	1	49	11X1894937
